# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_1barCO2_aqua
# TRAPPIST-1 e, 0.50% N2, 0.50% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0331825           #334.8689355         #0.0559349           #36.0000000          #5.0000000           
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56986.6990979           0.0009559         188.7526322           0.4999970       4.9999698E-01       0.0000000E+00       6.0408635E-06       7.7383401E-40       2.0654563E-10              14.000               9.945
    1       55409.0726139           0.0012448         187.1816664           0.4999970       4.9999700E-01       0.0000000E+00       5.9967471E-06       2.3138326E-33       2.2639319E-09              14.000               9.202
    2       53866.7321916           0.0016128         186.9852846           0.4999970       4.9999700E-01       0.0000000E+00       6.0058150E-06       3.6563076E-16       8.2362448E-09              14.000               9.240
    3       52349.2322737           0.0020793         188.2457355           0.4999969       4.9999690E-01       0.0000000E+00       6.2015052E-06       8.6371084E-31       1.5622760E-08              14.000               9.983
    4       50851.1812803           0.0026674         189.5475125           0.4999967       4.9999673E-01       0.0000000E+00       6.5484436E-06       2.2259871E-19       2.5057426E-08              14.000              10.793
    5       49373.3791979           0.0034049         190.5237960           0.4999965       4.9999647E-01       0.0000000E+00       7.0649874E-06       3.6422159E-20       3.1966621E-08              14.000              11.387
    6       47917.2870733           0.0043246         191.3572101           0.4999961       4.9999613E-01       0.0000000E+00       7.7324919E-06       4.8711408E-39       3.5301529E-08              14.000              11.833
    7       46483.3767605           0.0054654         192.2356426           0.4999957       4.9999573E-01       0.0000000E+00       8.5385591E-06       1.3856663E-23       3.7158456E-08              14.000              12.296
    8       45071.2289413           0.0068729         193.3455705           0.4999953       4.9999529E-01       0.0000000E+00       9.4198033E-06       8.4838804E-37       3.7150448E-08              14.000              12.946
    9       43679.6810700           0.0085997         194.8124043           0.4999948       4.9999484E-01       0.0000000E+00       1.0311413E-05       1.3367292E-25       3.9935185E-08              14.000              13.936
   10       42307.7229330           0.0107070         196.5111131           0.4999944       4.9999443E-01       0.0000000E+00       1.1136842E-05       1.9243311E-22       4.7936291E-08              14.000              15.236
   11       40955.7136987           0.0132648         198.1262341           0.4999940       4.9999398E-01       0.0000000E+00       1.2046523E-05       4.5143890E-22       6.1002211E-08              14.000              16.604
   12       39625.2389700           0.0163518         199.5351945           0.4999934       4.9999339E-01       0.0000000E+00       1.3229300E-05       5.9482287E-22       8.5284165E-08              14.000              17.864
   13       38317.3884148           0.0200568         200.8945948           0.4999927       4.9999265E-01       0.0000000E+00       1.4695254E-05       1.1287580E-22       1.2880762E-07              14.000              19.086
   14       37032.0429454           0.0244790         202.3579822           0.4999917       4.9999172E-01       0.0000000E+00       1.6552231E-05       3.5114409E-23       2.1258419E-07              14.000              20.418
   15       35768.5432176           0.0297280         203.9878931           0.4999903       4.9999031E-01       0.0000000E+00       1.9383499E-05       2.0306659E-21       3.8645816E-07              14.000              21.928
   16       34525.9242227           0.0359233         205.9375659           0.4999878       4.9998778E-01       0.0000000E+00       2.4447863E-05       8.9955987E-22       6.9926893E-07              14.000              23.738
   17       33302.7196887           0.0431938         208.4160433           0.4999828       4.9998283E-01       0.0000000E+00       3.4331820E-05       8.7375956E-21       1.1869697E-06              14.000              26.057
   18       32097.0994707           0.0516775         211.4576024           0.4999734       4.9997343E-01       0.0000000E+00       5.3150213E-05       1.1482530E-09       1.8621035E-06              14.000              28.861
