# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_1barCO2_aqua
# TRAPPIST-1 e, 0.50% N2, 0.50% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0360286           #331.4989499         #0.0416385           #36.0000000          #95.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56702.1776419           0.0009559         182.5636579           0.4999970       4.9999700E-01       0.0000000E+00       5.9970559E-06       1.9507363E-40       4.6855159E-09              14.000               7.501
    1       55160.1632621           0.0012448         181.2561793           0.4999971       4.9999706E-01       0.0000000E+00       5.8710562E-06       6.1998077E-34       2.1116894E-08              14.000               7.067
    2       53652.6397778           0.0016128         180.7163798           0.4999971       4.9999711E-01       0.0000000E+00       5.7863741E-06       9.7970468E-17       5.2128877E-08              14.000               7.003
    3       52170.6739733           0.0020793         181.5146619           0.4999971       4.9999709E-01       0.0000000E+00       5.8141234E-06       1.7127029E-31       7.6911025E-08              14.000               7.284
    4       50707.1517455           0.0026674         183.0625391           0.4999970       4.9999704E-01       0.0000000E+00       5.9257098E-06       1.9057349E-21       7.7492287E-08              14.000               7.780
    5       49259.2123311           0.0034049         185.1091441           0.4999969       4.9999689E-01       0.0000000E+00       6.2245636E-06       1.0268488E-21       7.0847442E-08              14.000               8.511
    6       47825.6509348           0.0043246         187.4811571           0.4999967       4.9999666E-01       0.0000000E+00       6.6725870E-06       8.1885752E-41       6.0819999E-08              14.000               9.533
    7       46406.3274954           0.0054654         189.8995135           0.4999964       4.9999640E-01       0.0000000E+00       7.1920130E-06       5.0434129E-24       5.3806945E-08              14.000              10.777
    8       45001.9433286           0.0068729         192.2847634           0.4999961       4.9999612E-01       0.0000000E+00       7.7630584E-06       1.0057894E-36       4.7408224E-08              14.000              12.187
    9       43613.3501359           0.0085997         194.5921967           0.4999958       4.9999582E-01       0.0000000E+00       8.3685091E-06       8.1977074E-36       4.1623529E-08              14.000              13.743
