# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_1barCO2_aqua
# TRAPPIST-1 e, 0.50% N2, 0.50% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0378394           #328.9647504         #0.0339620           #36.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56822.4869269           0.0009559         182.6569521           0.4999970       4.9999703E-01       0.0000000E+00       5.9361693E-06       0.0000000E+00       6.6636411E-09              14.000               7.519
    1       55281.8071027           0.0012448         182.3058804           0.4999971       4.9999714E-01       0.0000000E+00       5.7145440E-06       0.0000000E+00       2.5237867E-08              14.000               7.472
    2       53770.2653401           0.0016128         182.6170562           0.4999972       4.9999721E-01       0.0000000E+00       5.5794561E-06       0.0000000E+00       5.3328467E-08              14.000               7.816
    3       52280.9704027           0.0020793         183.9453257           0.4999972       4.9999719E-01       0.0000000E+00       5.6240839E-06       0.0000000E+00       8.4391602E-08              14.000               8.487
    4       50808.3057461           0.0026674         185.7353364           0.4999971       4.9999711E-01       0.0000000E+00       5.7830256E-06       0.0000000E+00       9.5654862E-08              14.000               9.320
    5       49350.3267614           0.0034049         187.7132415           0.4999970       4.9999696E-01       0.0000000E+00       6.0791819E-06       0.0000000E+00       9.6487469E-08              14.000              10.180
    6       47906.8569791           0.0043246         189.7353469           0.4999968       4.9999676E-01       0.0000000E+00       6.4887554E-06       0.0000000E+00       9.3730929E-08              14.000              11.077
    7       46478.4070864           0.0054654         191.7391465           0.4999965       4.9999648E-01       0.0000000E+00       7.0406620E-06       1.3686819E-38       8.9588338E-08              14.000              12.089
    8       45065.5666309           0.0068729         193.7725874           0.4999961       4.9999614E-01       0.0000000E+00       7.7285780E-06       1.8285518E-33       8.0552056E-08              14.000              13.311
    9       43668.5542085           0.0085997         195.9062822           0.4999957       4.9999573E-01       0.0000000E+00       8.5492308E-06       2.9032192E-30       6.6230419E-08              14.000              14.839
   10       42287.3787200           0.0107070         198.1085463           0.4999953       4.9999526E-01       0.0000000E+00       9.4765889E-06       7.5137352E-23       5.0276493E-08              14.000              16.673
   11       40922.4077039           0.0132648         200.3122460           0.4999948       4.9999476E-01       0.0000000E+00       1.0485579E-05       4.0295548E-22       4.6859421E-08              14.000              18.714
   12       39574.5568512           0.0163518         202.4870470           0.4999942       4.9999422E-01       0.0000000E+00       1.1556705E-05       1.5716620E-23       5.2632481E-08              14.000              20.747
   13       38244.8308285           0.0200568         204.6185744           0.4999936       4.9999362E-01       0.0000000E+00       1.2760822E-05       6.7528567E-24       7.1714084E-08              14.000              22.598
   14       36933.8530740           0.0244790         206.7836882           0.4999929       4.9999290E-01       0.0000000E+00       1.4203455E-05       3.5439593E-23       9.9156212E-08              14.000              24.342
   15       35641.6708805           0.0297280         209.1054416           0.4999919       4.9999192E-01       0.0000000E+00       1.6167699E-05       5.2301320E-22       1.2057565E-07              14.000              26.177
   16       34368.0856084           0.0359233         211.5779410           0.4999904       4.9999044E-01       0.0000000E+00       1.9130319E-05       3.1535571E-20       1.3856719E-07              14.000              28.187
   17       33113.2981561           0.0431938         214.1079579           0.4999880       4.9998797E-01       0.0000000E+00       2.4065297E-05       1.0129756E-19       1.7551789E-07              14.000              30.286
   18       31877.9379521           0.0516775         216.6410686           0.4999836       4.9998360E-01       0.0000000E+00       3.2793818E-05       5.9196727E-11       2.6158311E-07              14.000              32.320
   19       30662.5936457           0.0615205         219.2332779           0.4999756       4.9997564E-01       0.0000000E+00       4.8717023E-05       7.0095907E-10       4.3370410E-07              14.000              34.177
   20       29467.2769042           0.0728745         222.0610249           0.4999626       4.9996256E-01       0.0000000E+00       7.4880828E-05       7.8613962E-09       7.5040088E-07              14.000              35.980
   21       27673.4030772           0.0934685         226.9533740           0.4999222       4.9992223E-01       0.0000000E+00       1.5556129E-04       9.0558282E-08       1.3771175E-06              14.000              39.236
   22       25512.6523097           0.1253270         233.6704746           0.4998310       4.9983111E-01       0.0000000E+00       3.3789233E-04       1.0989429E-06       2.4701358E-06              14.000              45.755
   23       23512.9894055           0.1630635         241.3348592           0.4996579       4.9965839E-01       0.0000000E+00       6.8367814E-04       4.8574388E-06       3.7722905E-06              14.000              60.756
   24       21622.7586159           0.2074584         249.4381058           0.4993743       4.9937590E-01       0.0000000E+00       1.2497507E-03       1.0020070E-05       3.0126998E-06              14.000              90.013
   25       19802.1725135           0.2596868         257.4270831           0.4989330       4.9893751E-01       0.0000000E+00       2.1294994E-03       1.4758895E-05       1.4661713E-06              14.000             130.234
   26       18026.7985534           0.3211307         265.1713600           0.4982938       4.9830528E-01       0.0000000E+00       3.4009677E-03       1.4098972E-05       2.7687019E-07              14.000             179.112
   27       16279.0239999           0.3934164         272.9871663           0.4974558       4.9748133E-01       0.0000000E+00       5.0628518E-03       9.1715559E-06       8.0877033E-09              14.000             225.756
   28       14544.2752908           0.4784567         281.1299727           0.4963821       4.9643331E-01       0.0000000E+00       7.1846311E-03       4.4903219E-06       7.7104166E-14              14.000             243.668
   29       12810.6708435           0.5785022         289.5824473           0.4949017       4.9500262E-01       0.0000000E+00       1.0095669E-02       3.0593922E-06       2.2975361E-28              14.000             245.805
   30       11068.9286865           0.6962006         298.2921480           0.4929473       4.9313823E-01       0.0000000E+00       1.3914491E-02       2.1120450E-06       9.4074539E-32              14.000             245.803
   31        9312.2318644           0.8346666         307.0525662           0.4904722       4.9081591E-01       0.0000000E+00       1.8711882E-02       8.1141687E-07       4.2813199E-36              14.000             245.804
   32        7535.9967530           0.9975647         315.7076197           0.4874615       4.8804702E-01       0.0000000E+00       2.4491456E-02       5.2395389E-07       1.0090142E-38              14.000             245.805
   33        5737.6352315           1.1892059         324.0139251           0.4838979       4.8484527E-01       0.0000000E+00       3.1256843E-02       3.8086592E-07       1.4209013E-37              14.000             245.804
   34        4073.7548492           1.3940457         331.1160059           0.4803073       4.8169804E-01       0.0000000E+00       3.7994677E-02       3.1512370E-07       2.4242149E-36              14.000             245.804
   35        2688.6483362           1.5874675         335.9666807           0.4774992       4.7928912E-01       0.0000000E+00       4.3211667E-02       4.1937087E-07       3.2183133E-35              14.000             245.805
   36        1598.3184437           1.7565331         338.0636719           0.4750817       4.7725051E-01       0.0000000E+00       4.7667823E-02       5.5882697E-07       1.9657340E-33              14.000             245.808
   37         810.0775455           1.8894902         337.4433567           0.4727038       4.7527608E-01       0.0000000E+00       5.2020121E-02       9.2433692E-07       2.4469840E-30              14.000             245.809
   38         325.4757954           1.9765264         334.7201541           0.4695010       4.7266307E-01       0.0000000E+00       5.7835972E-02       2.2745123E-06       1.8639521E-28              14.000             245.806
   39          79.2172533           2.0226699         331.5295023           0.4668412       4.7053213E-01       0.0000000E+00       6.2626683E-02       1.3137594E-05       3.4790206E-28              14.000             245.804
