results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.49163e-05 -1.49164e-05  1.45984e-11
5.002083333e+00 -1.49816e-05 -1.49816e-05  2.21787e-11
5.004167535e+00 -1.58209e-05 -1.58209e-05  1.48380e-11
5.006252605e+00 -1.64408e-05 -1.64408e-05  1.27603e-11
5.008338543e+00 -1.58726e-05 -1.58726e-05  1.27653e-11
5.010425351e+00 -1.57720e-05 -1.57720e-05  1.28121e-11
5.012513028e+00 -1.43764e-05 -1.43764e-05  1.28966e-11
5.014601575e+00 -1.52995e-05 -1.52996e-05  1.31133e-11
5.016690992e+00 -1.52971e-05 -1.52971e-05  2.21152e-11
5.018781280e+00 -1.43177e-05 -1.43177e-05  3.50752e-11
5.020872439e+00 -1.43923e-05 -1.43923e-05  3.80712e-11
5.022964469e+00 -1.53534e-05 -1.53534e-05  9.62072e-12
5.025057371e+00 -1.41865e-05 -1.41865e-05  1.34431e-11
5.027151145e+00 -1.42689e-05 -1.42690e-05  1.42234e-11
5.029245792e+00 -1.45320e-05 -1.45320e-05  2.70470e-11
5.031341311e+00 -1.55466e-05 -1.55466e-05  1.67488e-11
5.033437703e+00 -1.48138e-05 -1.48138e-05  1.34605e-11
5.035534969e+00 -1.56291e-05 -1.56291e-05  1.33878e-11
5.037633108e+00 -1.58254e-05 -1.58255e-05  1.32521e-11
5.039732122e+00 -1.36785e-05 -1.36785e-05  1.35829e-11
5.041832010e+00 -1.52521e-05 -1.52521e-05  1.32941e-11
5.043932774e+00 -1.43691e-05 -1.43691e-05  1.35803e-11
5.046034412e+00 -1.47471e-05 -1.47471e-05  1.34242e-11
5.048136927e+00 -1.39826e-05 -1.39827e-05  1.43715e-11
5.050240317e+00 -1.54767e-05 -1.54767e-05  1.34609e-11
5.052344584e+00 -1.55488e-05 -1.55488e-05  1.34902e-11
5.054449727e+00 -1.44882e-05 -1.44882e-05  1.35251e-11
5.056555748e+00 -1.47198e-05 -1.47199e-05  1.37575e-11
5.058662646e+00 -1.42520e-05 -1.42520e-05  1.38876e-11
5.060770422e+00 -1.44813e-05 -1.44814e-05  1.88143e-11
5.062879077e+00 -1.39436e-05 -1.39436e-05  1.38295e-11
5.064988610e+00 -1.41627e-05 -1.41627e-05  1.37962e-11
5.067099022e+00 -1.39032e-05 -1.39032e-05  1.38510e-11
5.069210313e+00 -1.49404e-05 -1.49404e-05  1.39246e-11
5.071322484e+00 -1.45848e-05 -1.45848e-05  1.39866e-11
5.073435535e+00 -1.48628e-05 -1.48629e-05  1.40723e-11
5.075549466e+00 -1.42131e-05 -1.42131e-05  1.42388e-11
5.077664279e+00 -1.39049e-05 -1.39049e-05  1.44686e-11
5.079779972e+00 -1.38082e-05 -1.38082e-05  1.52125e-11
5.081896547e+00 -1.37841e-05 -1.37842e-05  3.69093e-11
5.084014004e+00 -1.41860e-05 -1.41860e-05  2.21739e-11
5.086132343e+00 -1.39214e-05 -1.39215e-05  3.13463e-11
5.088251565e+00 -1.41764e-05 -1.41764e-05  1.52220e-11
5.090371670e+00 -1.41891e-05 -1.41891e-05  1.47196e-11
5.092492658e+00 -1.28354e-05 -1.28354e-05  1.46624e-11
5.094614530e+00 -1.34729e-05 -1.34729e-05  1.47203e-11
