# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_400ppmCO2_1.7ppmCH4_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0043799           #224.7520527         #0.0000000           #28.0063771          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56333.8865495           0.0009559         180.5346838           0.9995980       3.9983920E-04       1.6993166E-06       4.6475189E-07       0.0000000E+00       8.3771127E-14              14.000               6.368
    1       54380.7387944           0.0012448         179.3510032           0.9995980       3.9983920E-04       1.6993166E-06       4.5162232E-07       0.0000000E+00       2.8253195E-11              14.000               6.324
    2       52472.2329709           0.0016128         179.0817042           0.9995980       3.9983921E-04       1.6993166E-06       4.4195961E-07       0.0000000E+00       2.4889898E-11              14.000               6.357
    3       50601.7503494           0.0020793         179.1612545           0.9995980       3.9983921E-04       1.6993167E-06       4.3174297E-07       0.0000000E+00       5.2934133E-11              14.000               6.379
    4       48765.3847961           0.0026674         179.5909870           0.9995980       3.9983922E-04       1.6993167E-06       4.2122529E-07       0.0000000E+00       9.4169531E-11              14.000               6.434
    5       46961.1170250           0.0034049         180.0620149           0.9995981       3.9983922E-04       1.6993167E-06       4.0718265E-07       0.0000000E+00       1.3110500E-10              14.000               6.537
    6       45189.8916384           0.0043246         180.3510116           0.9995981       3.9983923E-04       1.6993167E-06       3.9356206E-07       0.0000000E+00       1.9167186E-10              14.000               6.641
    7       43454.4701565           0.0054654         180.2964122           0.9995981       3.9983923E-04       1.6993167E-06       3.8653044E-07       0.0000000E+00       3.0774434E-10              14.000               6.686
    8       41757.9672623           0.0068729         179.9516257           0.9995981       3.9983923E-04       1.6993167E-06       3.8377736E-07       0.0000000E+00       5.2749007E-10              14.000               6.667
    9       40102.4430607           0.0085997         179.4605016           0.9995981       3.9983923E-04       1.6993167E-06       3.8338375E-07       0.0000000E+00       8.5412970E-10              14.000               6.614
   10       38487.6021477           0.0107070         179.1212830           0.9995981       3.9983923E-04       1.6993167E-06       3.8855827E-07       0.0000000E+00       1.1991072E-09              14.000               6.564
   11       36911.1786197           0.0132648         179.0682238           0.9995981       3.9983922E-04       1.6993167E-06       4.0559896E-07       0.0000000E+00       1.4838720E-09              14.000               6.537
   12       35370.7917689           0.0163518         179.2802226           0.9995980       3.9983921E-04       1.6993166E-06       4.3512455E-07       0.0000000E+00       1.6263901E-09              14.000               6.539
   13       33864.9446899           0.0200568         179.6061364           0.9995980       3.9983920E-04       1.6993166E-06       4.7017339E-07       0.0000000E+00       1.5743091E-09              14.000               6.557
   14       32393.2315119           0.0244790         179.9271676           0.9995980       3.9983918E-04       1.6993165E-06       5.0753986E-07       0.0000000E+00       1.3977457E-09              14.000               6.573
   15       30955.6999390           0.0297280         180.2747068           0.9995979       3.9983917E-04       1.6993165E-06       5.4686676E-07       0.0000000E+00       1.4059355E-09              14.000               6.581
   16       29551.4997137           0.0359233         180.8768347           0.9995979       3.9983915E-04       1.6993164E-06       5.9860916E-07       0.0000000E+00       2.2279447E-09              14.000               6.637
   17       28178.1819466           0.0431938         182.0052589           0.9995978       3.9983912E-04       1.6993162E-06       6.7268889E-07       0.0000000E+00       4.4979452E-09              14.000               6.912
   18       26831.7221686           0.0516775         183.8378119           0.9995977       3.9983908E-04       1.6993161E-06       7.6825138E-07       0.0000000E+00       7.2133092E-09              14.000               7.571
   19       25508.1697215           0.0615205         186.2174224           0.9995976       3.9983903E-04       1.6993159E-06       8.9077085E-07       0.0000000E+00       1.0720943E-08              14.000               8.666
   20       24204.7686373           0.0728745         189.0813360           0.9995974       3.9983896E-04       1.6993156E-06       1.0633179E-06       0.0000000E+00       1.5692268E-08              14.000              10.244
   21       22938.7376597           0.0856898         192.2275601           0.9995972       3.9983887E-04       1.6993152E-06       1.2948039E-06       0.0000000E+00       2.3274295E-08              14.000              12.278
   22       21661.4069793           0.1006186         195.7094364           0.9995968       3.9983873E-04       1.6993146E-06       1.6376551E-06       2.4210555E-40       3.2645497E-08              14.000              14.844
   23       20339.9132138           0.1184379         199.6011887           0.9995963       3.9983850E-04       1.6993136E-06       2.2112791E-06       3.5176551E-35       4.1267952E-08              14.000              17.991
   24       18991.1266801           0.1394015         203.9496475           0.9995952       3.9983810E-04       1.6993119E-06       3.2138075E-06       1.8493811E-31       4.2662080E-08              14.000              21.800
   25       17611.7031553           0.1640640         208.7935693           0.9995934       3.9983734E-04       1.6993087E-06       5.1057588E-06       4.2471532E-30       3.6945871E-08              14.000              26.279
   26       16197.7225482           0.1930782         214.2575424           0.9995895       3.9983579E-04       1.6993021E-06       8.9914928E-06       4.6703985E-28       3.2885977E-08              14.000              30.892
   27       14745.1417775           0.2272119         220.2504836           0.9995806       3.9983224E-04       1.6992870E-06       1.7864216E-05       1.5678135E-26       5.2747036E-08              14.000              34.613
   28       13251.0394178           0.2673685         226.5610798           0.9995610       3.9982442E-04       1.6992538E-06       3.7430020E-05       2.2090099E-15       8.9715343E-08              14.000              38.390
   29       11714.6023127           0.3146106         232.7846846           0.9995201       3.9980805E-04       1.6991842E-06       7.8381553E-05       7.6381496E-10       1.4478617E-07              14.000              43.322
   30       10137.9995792           0.3701884         238.3881640           0.9994450       3.9977800E-04       1.6990565E-06       1.5354813E-04       5.9331974E-08       3.7432428E-07              14.000              52.024
   31        8526.4783281           0.4355729         242.9364848           0.9992995       3.9971983E-04       1.6988093E-06       2.9908687E-04       5.8553699E-07       1.1029458E-06              14.000              67.146
   32        6886.5040634           0.5124943         246.4959607           0.9990449       3.9961807E-04       1.6983768E-06       5.5380827E-04       2.9898783E-06       2.4858430E-06              14.000              84.198
   33        5221.8536233           0.6029884         249.7972580           0.9987119       3.9948508E-04       1.6978116E-06       8.8691423E-04       7.6765968E-06       3.1440921E-06              14.000             101.301
   34        3682.2089441           0.6997150         251.4263453           0.9985181       3.9940773E-04       1.6974828E-06       1.0807470E-03       1.1009086E-05       3.3185387E-06              14.000             110.621
   35        2406.2839302           0.7910499         251.4944477           0.9985401       3.9941649E-04       1.6975201E-06       1.0587856E-03       7.1156335E-06       1.8209595E-06              14.000             111.109
   36        1412.7808953           0.8708837         247.3065276           0.9988406       3.9953648E-04       1.6980300E-06       7.5814456E-04       3.3211023E-06       1.2657120E-06              14.000              92.287
   37         706.8069890           0.9336668         241.6741973           0.9991503       3.9966022E-04       1.6985559E-06       4.4829459E-04       1.7185267E-06       1.1411352E-06              14.000              71.405
   38         282.6942385           0.9747659         230.7333321           0.9994063       3.9976254E-04       1.6989908E-06       1.9221686E-04       7.4240071E-07       1.2861208E-06              14.000              47.093
   39          69.9328952           0.9968682         226.0345998           0.9994613       3.9978455E-04       1.6990843E-06       1.3716787E-04       5.6950141E-07       1.3704704E-06              14.000              41.171
