# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  3.05168e-11
5.002083333e+00  6.42918e-11
5.004167535e+00  3.27641e-11
5.006252605e+00  2.17167e-11
5.008338543e+00  2.11874e-11
5.010425351e+00  2.14191e-11
5.012513028e+00  2.21291e-11
5.014601575e+00  2.46004e-11
5.016690992e+00  6.74390e-11
5.018781280e+00  1.18974e-10
5.020872439e+00  1.14909e-10
5.022964469e+00  2.19109e-11
5.025057371e+00  2.62574e-11
5.027151145e+00  3.52683e-11
5.029245792e+00  8.32047e-11
5.031341311e+00  3.94943e-11
5.033437703e+00  2.38367e-11
5.035534969e+00  2.24254e-11
5.037633108e+00  2.15160e-11
5.039732122e+00  2.25182e-11
5.041832010e+00  2.13381e-11
5.043932774e+00  2.20298e-11
5.046034412e+00  2.15388e-11
5.048136927e+00  2.53282e-11
5.050240317e+00  2.15223e-11
5.052344584e+00  2.13623e-11
5.054449727e+00  2.14983e-11
5.056555748e+00  2.23987e-11
5.058662646e+00  2.47400e-11
5.060770422e+00  4.35758e-11
5.062879077e+00  2.26590e-11
5.064988610e+00  2.19146e-11
5.067099022e+00  2.23223e-11
5.069210313e+00  2.21715e-11
5.071322484e+00  2.29182e-11
5.073435535e+00  2.27902e-11
5.075549466e+00  2.43436e-11
5.077664279e+00  2.61685e-11
5.079779972e+00  3.47660e-11
5.081896547e+00  1.02347e-10
5.084014004e+00  8.26692e-11
5.086132343e+00  9.71218e-11
5.088251565e+00  3.21387e-11
5.090371670e+00  2.56126e-11
5.092492658e+00  2.57612e-11
5.094614530e+00  2.43701e-11
5.096737286e+00  2.81488e-11
5.098860926e+00  8.70742e-11
5.100985452e+00  3.13616e-11
5.103110862e+00  2.68020e-11
5.105237159e+00  2.57437e-11
5.107364341e+00  2.89647e-11
5.109492409e+00  3.00330e-11
5.111621364e+00  5.28167e-11
5.113751207e+00  4.69711e-11
5.115881936e+00  8.10073e-11
5.118013554e+00  2.44203e-11
5.120146060e+00  2.49300e-11
5.122279454e+00  2.62403e-11
5.124413737e+00  2.62006e-11
5.126548909e+00  3.04866e-11
5.128684971e+00  3.01852e-11
5.130821923e+00  3.10263e-11
5.132959766e+00  2.96168e-11
5.135098499e+00  3.71882e-11
5.137238123e+00  1.13919e-10
5.139378639e+00  1.03915e-10
5.141520047e+00  9.06106e-11
5.143662347e+00  4.54528e-11
5.145805540e+00  8.88128e-11
5.147949625e+00  1.54570e-10
5.150094604e+00  1.28482e-10
5.152240477e+00  4.74718e-11
5.154387244e+00  3.66452e-11
5.156534905e+00  3.32105e-11
5.158683462e+00  3.05295e-11
5.160832913e+00  3.15146e-11
5.162983260e+00  3.13999e-11
5.165134503e+00  2.95209e-11
5.167286642e+00  3.05173e-11
5.169439679e+00  3.72146e-11
5.171593612e+00  5.27343e-11
5.173748442e+00  8.80195e-11
5.175904171e+00  3.89992e-11
5.178060798e+00  2.95080e-11
5.180218323e+00  2.85729e-11
5.182376747e+00  3.04476e-11
5.184536071e+00  2.93368e-11
5.186696294e+00  3.39546e-11
5.188857418e+00  3.14514e-11
5.191019442e+00  3.89623e-11
5.193182366e+00  3.51452e-11
5.195346192e+00  5.15933e-11
5.197510920e+00  6.77656e-11
5.199676550e+00  1.61364e-10
5.201843081e+00  1.67416e-10
