# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_1barN2_400ppmCO2_1.7ppmCH4_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0044273           #225.0881994         #0.0000000           #28.0063771          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56335.3739927           0.0009559         180.4927064           0.9995980       3.9983920E-04       1.6993166E-06       4.6475536E-07       0.0000000E+00       9.1267174E-19              14.000               6.360
    1       54382.3966801           0.0012448         179.3509208           0.9995980       3.9983920E-04       1.6993166E-06       4.5165325E-07       0.0000000E+00       3.3112557E-11              14.000               6.325
    2       52473.7578121           0.0016128         179.1018771           0.9995980       3.9983921E-04       1.6993166E-06       4.4203534E-07       0.0000000E+00       2.7042555E-11              14.000               6.360
    3       50603.1050621           0.0020793         179.1779280           0.9995980       3.9983921E-04       1.6993167E-06       4.3182774E-07       0.0000000E+00       5.4848340E-11              14.000               6.381
    4       48766.6741105           0.0026674         179.5917325           0.9995980       3.9983922E-04       1.6993167E-06       4.2125428E-07       0.0000000E+00       9.4468174E-11              14.000               6.434
    5       46962.4415564           0.0034049         180.0549651           0.9995981       3.9983922E-04       1.6993167E-06       4.0715290E-07       0.0000000E+00       1.2770193E-10              14.000               6.537
    6       45191.2783765           0.0043246         180.3452029           0.9995981       3.9983923E-04       1.6993167E-06       3.9351621E-07       0.0000000E+00       1.8671299E-10              14.000               6.640
    7       43455.8898462           0.0054654         180.2948115           0.9995981       3.9983923E-04       1.6993167E-06       3.8648009E-07       0.0000000E+00       3.0123844E-10              14.000               6.686
    8       41759.3954271           0.0068729         179.9492849           0.9995981       3.9983923E-04       1.6993167E-06       3.8373802E-07       0.0000000E+00       5.1833304E-10              14.000               6.666
    9       40103.9007056           0.0085997         179.4509379           0.9995981       3.9983923E-04       1.6993167E-06       3.8334251E-07       0.0000000E+00       8.4220220E-10              14.000               6.612
   10       38489.1232020           0.0107070         179.1044614           0.9995981       3.9983923E-04       1.6993167E-06       3.8850214E-07       0.0000000E+00       1.1861759E-09              14.000               6.561
   11       36912.7817574           0.0132648         179.0445495           0.9995981       3.9983922E-04       1.6993167E-06       4.0559399E-07       0.0000000E+00       1.4754151E-09              14.000               6.534
   12       35372.4949865           0.0163518         179.2491103           0.9995980       3.9983921E-04       1.6993166E-06       4.3534951E-07       0.0000000E+00       1.6341434E-09              14.000               6.535
   13       33866.7842300           0.0200568         179.5635238           0.9995980       3.9983920E-04       1.6993166E-06       4.7077830E-07       0.0000000E+00       1.6093662E-09              14.000               6.552
   14       32395.2650678           0.0244790         179.8684446           0.9995980       3.9983918E-04       1.6993165E-06       5.0849968E-07       0.0000000E+00       1.4696569E-09              14.000               6.565
   15       30958.0107258           0.0297280         180.1930690           0.9995979       3.9983917E-04       1.6993165E-06       5.4812984E-07       0.0000000E+00       1.5214110E-09              14.000               6.569
   16       29554.1961712           0.0359233         180.7680238           0.9995979       3.9983914E-04       1.6993164E-06       6.0002477E-07       0.0000000E+00       2.4598360E-09              14.000               6.618
   17       28181.3281058           0.0431938         181.8794198           0.9995978       3.9983911E-04       1.6993162E-06       6.7462092E-07       0.0000000E+00       4.9587558E-09              14.000               6.877
   18       26835.3517861           0.0516775         183.6898424           0.9995977       3.9983908E-04       1.6993161E-06       7.7199984E-07       0.0000000E+00       8.0576347E-09              14.000               7.513
   19       25512.3680660           0.0615205         186.0443340           0.9995976       3.9983903E-04       1.6993159E-06       8.9696258E-07       0.0000000E+00       1.2324767E-08              14.000               8.579
   20       24209.6582525           0.0728745         188.8814114           0.9995974       3.9983896E-04       1.6993156E-06       1.0730692E-06       0.0000000E+00       1.8614878E-08              14.000              10.125
   21       22944.4352348           0.0856897         192.0013802           0.9995972       3.9983886E-04       1.6993152E-06       1.3091317E-06      -1.9419095E-54       2.8095608E-08              14.000              12.122
   22       21668.0195200           0.1006182         195.4683937           0.9995968       3.9983872E-04       1.6993146E-06       1.6616558E-06       1.1893318E-39       3.9280093E-08              14.000              14.653
   23       20347.4965701           0.1184372         199.3618438           0.9995962       3.9983848E-04       1.6993136E-06       2.2559800E-06       3.3759015E-34       4.8862368E-08              14.000              17.778
   24       18999.6692976           0.1394003         203.7280100           0.9995952       3.9983807E-04       1.6993118E-06       3.2981094E-06       4.7681776E-32       4.9923036E-08              14.000              21.589
   25       17621.1261849           0.1640624         208.6059183           0.9995932       3.9983728E-04       1.6993084E-06       5.2731560E-06       1.0233308E-29       4.3408641E-08              14.000              26.110
   26       16207.8496885           0.1930761         214.1223833           0.9995891       3.9983565E-04       1.6993015E-06       9.3511041E-06       6.3849967E-28       3.8929396E-08              14.000              30.808
   27       14755.7099775           0.2272092         220.1823459           0.9995798       3.9983192E-04       1.6992856E-06       1.8679123E-05       1.8524739E-26       6.2204920E-08              14.000              34.573
   28       13261.7551020           0.2673650         226.5645885           0.9995594       3.9982376E-04       1.6992510E-06       3.9081324E-05       5.9345486E-15       1.0298387E-07              14.000              38.389
   29       11725.1763029           0.3146062         232.8628189           0.9995173       3.9980694E-04       1.6991795E-06       8.1156051E-05       1.0338209E-09       1.5605985E-07              14.000              43.387
   30       10148.1177208           0.3701830         238.5516120           0.9994409       3.9977639E-04       1.6990497E-06       1.5757493E-04       6.4572975E-08       3.8440212E-07              14.000              52.285
   31        8535.7401115           0.4355662         243.2078923           0.9992932       3.9971733E-04       1.6987987E-06       3.0535254E-04       5.8830013E-07       1.0779574E-06              14.000              67.881
   32        6894.4464102           0.5124862         246.8809308           0.9990324       3.9961309E-04       1.6983556E-06       5.6627561E-04       2.9766411E-06       2.4133040E-06              14.000              85.527
   33        5228.0488560           0.6029787         250.2845972           0.9986855       3.9947453E-04       1.6977668E-06       9.1333530E-04       7.7229670E-06       3.0505122E-06              14.000             103.337
   34        3686.4814687           0.6997035         251.9873482           0.9984762       3.9939098E-04       1.6974117E-06       1.1227103E-03       1.1195405E-05       3.1992516E-06              14.000             113.303
   35        2408.7918335           0.7910367         252.0645677           0.9984942       3.9939815E-04       1.6974421E-06       1.1047509E-03       7.3278334E-06       1.7604539E-06              14.000             113.952
   36        1413.9780829           0.8708690         247.7782498           0.9988112       3.9952471E-04       1.6979800E-06       7.8762714E-04       3.4741293E-06       1.2287460E-06              14.000              94.295
   37         707.2682990           0.9336509         242.0637748           0.9991388       3.9965562E-04       1.6985364E-06       4.5981101E-04       1.8197075E-06       1.1183678E-06              14.000              72.565
   38         282.8683899           0.9747492         230.9408321           0.9994040       3.9976163E-04       1.6989869E-06       1.9451419E-04       7.6533902E-07       1.2808306E-06              14.000              47.362
   39          69.9918737           0.9968511         226.3203707           0.9994571       3.9978286E-04       1.6990771E-06       1.4139225E-04       6.0250852E-07       1.3678848E-06              14.000              41.559
