# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_400ppmCO2_1.7ppmCH4_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0044338           #226.7851884         #0.2145593           #28.0063771          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56122.9174251           0.0009559         180.1039868           0.9995980       3.9983920E-04       1.6993166E-06       4.6758695E-07       0.0000000E+00       7.1317085E-12              14.000               6.348
    1       54173.2354391           0.0012448         179.2239450           0.9995980       3.9983920E-04       1.6993166E-06       4.5946050E-07       0.0000000E+00       5.6896815E-11              14.000               6.318
    2       52269.1125271           0.0016128         178.4619236           0.9995980       3.9983920E-04       1.6993166E-06       4.4988039E-07       0.0000000E+00       1.0317006E-10              14.000               6.332
    3       50407.9636161           0.0020793         178.0033263           0.9995980       3.9983921E-04       1.6993167E-06       4.2943276E-07       0.0000000E+00       4.5531037E-10              14.000               6.338
    4       48585.2437584           0.0026674         178.0415586           0.9995981       3.9983922E-04       1.6993167E-06       4.0192688E-07       0.0000000E+00       7.8889903E-10              14.000               6.401
    5       46797.3181843           0.0034049         178.3138764           0.9995981       3.9983923E-04       1.6993167E-06       3.7718060E-07       0.0000000E+00       1.1461669E-09              14.000               6.531
    6       45043.7092105           0.0043246         178.4993524           0.9995981       3.9983924E-04       1.6993168E-06       3.5966528E-07       0.0000000E+00       1.5379024E-09              14.000               6.651
    7       43326.4244290           0.0054654         178.3737742           0.9995981       3.9983924E-04       1.6993168E-06       3.5048871E-07       0.0000000E+00       2.3070758E-09              14.000               6.669
    8       41648.1247724           0.0068729         177.9922652           0.9995981       3.9983925E-04       1.6993168E-06       3.4615575E-07       0.0000000E+00       3.6912460E-09              14.000               6.598
    9       40010.3850024           0.0085997         177.5074929           0.9995981       3.9983925E-04       1.6993168E-06       3.4370967E-07       0.0000000E+00       5.1469043E-09              14.000               6.507
   10       38412.4778530           0.0107070         177.2166003           0.9995981       3.9983925E-04       1.6993168E-06       3.4680978E-07       0.0000000E+00       6.2507233E-09              14.000               6.436
   11       36852.0840586           0.0132648         177.1959835           0.9995981       3.9983924E-04       1.6993168E-06       3.6403919E-07       0.0000000E+00       6.9778722E-09              14.000               6.395
   12       35326.9745171           0.0163518         177.4416872           0.9995981       3.9983923E-04       1.6993167E-06       3.9862052E-07       0.0000000E+00       7.5498990E-09              14.000               6.384
   13       33835.5262495           0.0200568         177.8433024           0.9995980       3.9983921E-04       1.6993166E-06       4.4281495E-07       0.0000000E+00       8.1497561E-09              14.000               6.391
   14       32376.7480830           0.0244790         178.3433556           0.9995980       3.9983919E-04       1.6993166E-06       4.9012731E-07       0.0000000E+00       9.1249851E-09              14.000               6.399
   15       30949.8161100           0.0297280         178.9873029           0.9995979       3.9983917E-04       1.6993165E-06       5.3891508E-07       0.0000000E+00       9.8057529E-09              14.000               6.409
   16       29553.1366567           0.0359233         179.9558958           0.9995979       3.9983914E-04       1.6993164E-06       6.0323544E-07       0.0000000E+00       1.1404924E-08              14.000               6.489
   17       28184.2687330           0.0431938         181.3415612           0.9995978       3.9983911E-04       1.6993162E-06       6.9838656E-07       0.0000000E+00       1.6468443E-08              14.000               6.805
   18       26839.5663096           0.0516775         183.4238364           0.9995977       3.9983906E-04       1.6993160E-06       8.0293661E-07       0.0000000E+00       2.6516765E-08              14.000               7.509
   19       25514.8663962           0.0615205         186.1619722           0.9995975       3.9983901E-04       1.6993158E-06       9.2515547E-07       0.0000000E+00       4.0316860E-08              14.000               8.726
   20       24206.9871147           0.0728745         189.4498215           0.9995974       3.9983895E-04       1.6993155E-06       1.0841955E-06       0.0000000E+00       6.2956077E-08              14.000              10.567
   21       22933.2401281           0.0856905         193.0369125           0.9995972       3.9983887E-04       1.6993152E-06       1.2824152E-06       1.7996702E-36       9.3087707E-08              14.000              13.011
   22       21644.9396466           0.1006207         196.9774408           0.9995969       3.9983875E-04       1.6993147E-06       1.5975393E-06       2.2042604E-35       1.1815010E-07              14.000              16.120
   23       20309.5072621           0.1184418         201.2919444           0.9995963       3.9983853E-04       1.6993138E-06       2.1359982E-06       1.1762997E-30       1.4535418E-07              14.000              19.716
   24       18944.7435497           0.1394074         205.9285034           0.9995954       3.9983815E-04       1.6993121E-06       3.0873686E-06       2.7445891E-28       1.7335599E-07              14.000              23.607
   25       17548.4049489           0.1640723         210.8894478           0.9995934       3.9983737E-04       1.6993088E-06       5.0371143E-06       4.0632667E-27       1.9500944E-07              14.000              27.809
   26       16117.9981508           0.1930893         216.2489035           0.9995890       3.9983559E-04       1.6993013E-06       9.4900290E-06       1.5731960E-26       2.1547155E-07              14.000              32.085
   27       14651.4388985           0.2272263         221.8227375           0.9995786       3.9983144E-04       1.6992836E-06       1.9870881E-05       5.5054989E-26       3.4269710E-07              14.000              35.543
   28       13148.2487401           0.2673867         227.3220421           0.9995576       3.9982303E-04       1.6992479E-06       4.0893601E-05       7.2617160E-13       4.3477637E-07              14.000              38.960
   29       11610.0929973           0.3146334         232.3999753           0.9995181       3.9980723E-04       1.6991807E-06       8.0424901E-05       1.7852990E-08       5.1579599E-07              14.000              43.118
   30       10041.0425762           0.3702166         236.6846488           0.9994455       3.9977821E-04       1.6990574E-06       1.5300902E-04       2.7950555E-07       9.5476290E-07              14.000              50.016
   31        8446.6589441           0.4356074         240.0919376           0.9993060       3.9972245E-04       1.6988204E-06       2.9253590E-04       9.0774530E-07       1.3647862E-06              14.000              62.017
   32        6830.9654649           0.5125363         243.1421402           0.9990776       3.9963116E-04       1.6984324E-06       5.2105308E-04       2.4205662E-06       2.0169003E-06              14.000              76.246
