# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48450e-05 -1.48450e-05  1.68309e-11
5.002083333e+00 -1.49094e-05 -1.49094e-05  3.01682e-11
5.004167535e+00 -1.57452e-05 -1.57452e-05  1.76268e-11
5.006252605e+00 -1.63623e-05 -1.63623e-05  1.34829e-11
5.008338543e+00 -1.57968e-05 -1.57968e-05  1.33426e-11
5.010425351e+00 -1.56967e-05 -1.56967e-05  1.34312e-11
5.012513028e+00 -1.43077e-05 -1.43078e-05  1.36840e-11
5.014601575e+00 -1.52265e-05 -1.52265e-05  1.44747e-11
5.016690992e+00 -1.52234e-05 -1.52235e-05  3.06572e-11
5.018781280e+00 -1.42482e-05 -1.42482e-05  5.25845e-11
5.020872439e+00 -1.43225e-05 -1.43226e-05  5.54429e-11
5.022964469e+00 -1.52804e-05 -1.52804e-05  1.13353e-11
5.025057371e+00 -1.41189e-05 -1.41189e-05  1.51134e-11
5.027151145e+00 -1.42009e-05 -1.42009e-05  1.79572e-11
5.029245792e+00 -1.44620e-05 -1.44621e-05  3.89605e-11
5.031341311e+00 -1.54723e-05 -1.54723e-05  2.04413e-11
5.033437703e+00 -1.47432e-05 -1.47432e-05  1.44849e-11
5.035534969e+00 -1.55547e-05 -1.55547e-05  1.40804e-11
5.037633108e+00 -1.57501e-05 -1.57501e-05  1.38005e-11
5.039732122e+00 -1.36134e-05 -1.36134e-05  1.41725e-11
5.041832010e+00 -1.51795e-05 -1.51795e-05  1.37975e-11
5.043932774e+00 -1.43007e-05 -1.43007e-05  1.40799e-11
5.046034412e+00 -1.46769e-05 -1.46769e-05  1.39054e-11
5.048136927e+00 -1.39161e-05 -1.39161e-05  1.52198e-11
5.050240317e+00 -1.54031e-05 -1.54031e-05  1.39611e-11
5.052344584e+00 -1.54749e-05 -1.54749e-05  1.39543e-11
5.054449727e+00 -1.44193e-05 -1.44193e-05  1.39958e-11
5.056555748e+00 -1.46499e-05 -1.46499e-05  1.43426e-11
5.058662646e+00 -1.41842e-05 -1.41843e-05  1.51108e-11
5.060770422e+00 -1.44121e-05 -1.44121e-05  2.22640e-11
5.062879077e+00 -1.38773e-05 -1.38773e-05  1.44707e-11
5.064988610e+00 -1.40954e-05 -1.40954e-05  1.43309e-11
5.067099022e+00 -1.38372e-05 -1.38372e-05  1.43838e-11
5.069210313e+00 -1.48694e-05 -1.48694e-05  1.44891e-11
5.071322484e+00 -1.45156e-05 -1.45156e-05  1.45963e-11
5.073435535e+00 -1.47923e-05 -1.47923e-05  1.47692e-11
5.075549466e+00 -1.41457e-05 -1.41457e-05  1.51564e-11
5.077664279e+00 -1.38389e-05 -1.38390e-05  1.58661e-11
5.079779972e+00 -1.37426e-05 -1.37427e-05  1.85208e-11
5.081896547e+00 -1.37178e-05 -1.37178e-05  5.13791e-11
5.084014004e+00 -1.41186e-05 -1.41186e-05  3.65317e-11
5.086132343e+00 -1.38546e-05 -1.38546e-05  4.62802e-11
