# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0051633           #202.1677095         #0.2141058           #28.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       55896.6559913           0.0009559         198.2565587           1.0000000       0.0000000E+00       0.0000000E+00       2.9661704E-08       0.0000000E+00       0.0000000E+00              14.000              16.127
    1       53748.6876842           0.0012448         197.5128036           1.0000000       0.0000000E+00       0.0000000E+00       3.1163604E-08       0.0000000E+00       0.0000000E+00              14.000              15.679
    2       51677.7298220           0.0016128         191.6987116           1.0000000       0.0000000E+00       0.0000000E+00       3.5623029E-08       0.0000000E+00       0.0000000E+00              14.000              11.624
    3       49691.3743746           0.0020793         188.7905242           1.0000000       0.0000000E+00       0.0000000E+00       4.0456151E-08       0.0000000E+00       0.0000000E+00              14.000              10.101
    4       47765.7378131           0.0026674         187.3496344           1.0000000       0.0000000E+00       0.0000000E+00       4.4718596E-08       0.0000000E+00       0.0000000E+00              14.000               9.534
    5       45888.0980878           0.0034049         186.8420248           1.0000000       0.0000000E+00       0.0000000E+00       4.8463998E-08       0.0000000E+00       0.0000000E+00              14.000               9.185
    6       44063.8897789           0.0043246         184.3826597           0.9999999       0.0000000E+00       0.0000000E+00       5.2751216E-08       0.0000000E+00       0.0000000E+00              14.000               7.954
    7       42294.7347670           0.0054654         183.2348249           0.9999999       0.0000000E+00       0.0000000E+00       5.6350157E-08       0.0000000E+00       0.0000000E+00              14.000               7.889
    8       40574.7993710           0.0068729         181.9312500           0.9999999       0.0000000E+00       0.0000000E+00       6.0117137E-08       0.0000000E+00       0.0000000E+00              14.000               7.618
    9       38894.7376979           0.0085997         182.6189508           0.9999999       0.0000000E+00       0.0000000E+00       6.2992503E-08       0.0000000E+00       0.0000000E+00              14.000               7.619
   10       37251.9469105           0.0107070         181.9998694           0.9999999       0.0000000E+00       0.0000000E+00       6.6458552E-08       0.0000000E+00       0.0000000E+00              14.000               7.205
   11       35650.0049648           0.0132648         181.7752498           0.9999999       0.0000000E+00       0.0000000E+00       6.9718238E-08       0.0000000E+00       0.0000000E+00              14.000               6.858
   12       34090.7264865           0.0163518         180.7757581           0.9999999       0.0000000E+00       0.0000000E+00       7.4566911E-08       0.0000000E+00       0.0000000E+00              14.000               6.453
   13       32576.1909054           0.0200568         179.9738434           0.9999999       0.0000000E+00       0.0000000E+00       8.0536631E-08       0.0000000E+00       0.0000000E+00              14.000               6.212
   14       31105.3560875           0.0244790         179.1254193           0.9999999       0.0000000E+00       0.0000000E+00       8.9124558E-08       0.0000000E+00       0.0000000E+00              14.000               6.096
   15       29676.2355107           0.0297280         178.7097750           0.9999999       0.0000000E+00       0.0000000E+00       9.8884111E-08       0.0000000E+00       5.4595050E-37              14.000               6.106
   16       28285.9492268           0.0359233         178.5475636           0.9999999       0.0000000E+00       0.0000000E+00       1.0971105E-07       0.0000000E+00       3.4376885E-32              14.000               6.101
   17       26930.7952820           0.0431938         179.0762599           0.9999999       0.0000000E+00       0.0000000E+00       1.1626247E-07       0.0000000E+00       1.2027188E-27              14.000               6.097
   18       25605.1354917           0.0516775         180.4623747           0.9999999       0.0000000E+00       0.0000000E+00       1.1672952E-07       0.0000000E+00       2.9413468E-23              14.000               6.546
   19       24308.4586633           0.0615205         181.2774732           0.9999999       0.0000000E+00       0.0000000E+00       1.1108514E-07       0.0000000E+00       9.7929024E-19              14.000               7.229
   20       23048.5629568           0.0728745         180.5784554           0.9999999       0.0000000E+00       0.0000000E+00       1.0093422E-07       0.0000000E+00       2.8528728E-10              14.000               7.746
   21       21839.7065954           0.0856960         182.1987397           0.9999999       0.0000000E+00       0.0000000E+00       9.7632725E-08       0.0000000E+00       2.0217288E-09              14.000               8.540
   22       20624.3815002           0.1006381         185.3875775           0.9999999       0.0000000E+00       0.0000000E+00       1.1847503E-07       3.5653276E-38       1.0248517E-08              14.000               9.855
   23       19365.1957749           0.1184733         189.8016430           0.9999998       0.0000000E+00       0.0000000E+00       1.6753523E-07       1.6119202E-36       2.9470629E-08              14.000              12.033
   24       18074.3240064           0.1394554         195.0387688           0.9999997       0.0000000E+00       0.0000000E+00       2.8554138E-07       1.9395863E-36       6.8358633E-08              14.000              15.336
   25       16747.0391977           0.1641398         200.8486560           0.9999995       0.0000000E+00       0.0000000E+00       5.3408698E-07       1.7376189E-30       1.2648691E-07              14.000              19.267
   26       15379.2301440           0.1931797         207.2907680           0.9999988       0.0000000E+00       0.0000000E+00       1.1930151E-06       8.5435309E-28       1.8421120E-07              14.000              23.983
   27       13968.1991005           0.2273436         213.9078041           0.9999971       0.0000000E+00       0.0000000E+00       2.8591688E-06       1.8673260E-26       2.2472516E-07              14.000              29.649
   28       12514.7331588           0.2675357         220.1241666           0.9999924       0.0000000E+00       0.0000000E+00       7.5960279E-06       7.2133808E-24       3.2746645E-07              14.000              34.913
   29       11037.3939975           0.3148196         221.3700801           0.9999809       0.0000000E+00       0.0000000E+00       1.9069288E-05       5.9596311E-25       7.9232617E-07              14.000              35.126
   30        9555.6411994           0.3704467         221.5956282           0.9999605       0.0000000E+00       0.0000000E+00       3.9504932E-05       1.0343884E-23       8.4716031E-07              14.000              34.736
   31        8061.0954604           0.4358891         225.1511840           0.9999351       0.0000000E+00       0.0000000E+00       6.4920791E-05       1.1881863E-07       1.1053422E-06              14.000              38.145
   32        6536.5579336           0.5128786         230.5637365           0.9998863       0.0000000E+00       0.0000000E+00       1.1370624E-04       5.1684675E-07       1.1508638E-06              14.000              48.708
   33        4977.1248332           0.6034529         235.6638875           0.9997903       0.0000000E+00       0.0000000E+00       2.0974579E-04       7.9615828E-07       1.0857677E-06              14.000              62.442
   34        3523.1749952           0.7002651         239.8670930           0.9996364       0.0000000E+00       0.0000000E+00       3.6358625E-04       1.2814536E-06       1.5781956E-06              14.000              74.451
   35        2307.9028775           0.7916809         242.0855566           0.9994564       0.0000000E+00       0.0000000E+00       5.4364882E-04       1.6494662E-06       1.0425695E-06              14.000              78.932
   36        1352.7647828           0.8715854         240.9677414           0.9995207       0.0000000E+00       0.0000000E+00       4.7929012E-04       1.3218326E-06       9.3055897E-07              14.000              74.166
   37         670.6111624           0.9344241         234.5539523           0.9997402       0.0000000E+00       0.0000000E+00       2.5984456E-04       8.4678616E-07       1.1428654E-06              14.000              55.742
