# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sat Mar 16 23:49:16 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,49.872
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00001  1.00000  1.00000  0.77222  0.13847  0.00014  0.99580
5.002083333e+00  0.00001  1.00000  1.00000  0.30542  0.13846  0.00014  0.99928
5.004167535e+00  0.00001  1.00000  1.00000  0.68420  0.13845  0.00014  1.00000
5.006252605e+00  0.00002  1.00000  1.00000  0.91200  0.13844  0.00014  1.00000
5.008338543e+00  0.00002  1.00000  1.00000  0.93869  0.13843  0.00014  1.00000
5.010425351e+00  0.00002  1.00000  1.00000  0.93145  0.13842  0.00014  1.00000
5.012513028e+00  0.00002  1.00000  1.00000  0.89944  0.13841  0.00015  1.00000
5.014601575e+00  0.00002  1.00000  1.00000  0.79612  0.13840  0.00015  1.00000
5.016690992e+00  0.00000  1.00000  1.00000  0.21488  0.13839  0.00015  1.00000
5.018781280e+00 -0.00000  1.00000  1.00000 -0.00247  0.13838  0.00015  1.00000
5.020872439e+00  0.00000  1.00000  1.00000  0.00569  0.13837  0.00015  1.00000
5.022964469e+00  0.00001  1.00000  1.00000  0.52353  0.13836  0.00015  1.00000
5.025057371e+00  0.00002  1.00000  1.00000  0.74942  0.13835  0.00016  1.00000
5.027151145e+00  0.00001  1.00000  1.00000  0.53933  0.13834  0.00016  1.00000
5.029245792e+00  0.00000  1.00000  1.00000  0.17747  0.13833  0.00016  1.00000
5.031341311e+00  0.00001  1.00000  1.00000  0.57544  0.13833  0.00016  1.00000
5.033437703e+00  0.00002  1.00000  1.00000  0.86644  0.13832  0.00016  1.00000
5.035534969e+00  0.00002  1.00000  1.00000  0.92595  0.13831  0.00017  1.00000
5.037633108e+00  0.00002  1.00000  1.00000  0.95902  0.13830  0.00017  1.00000
5.039732122e+00  0.00002  1.00000  1.00000  0.94168  0.13829  0.00017  1.00000
5.041832010e+00  0.00002  1.00000  1.00000  0.97209  0.13828  0.00017  1.00000
5.043932774e+00  0.00002  1.00000  1.00000  0.96001  0.13827  0.00017  1.00000
5.046034412e+00  0.00002  1.00000  1.00000  0.97457  0.13826  0.00018  1.00000
5.048136927e+00  0.00002  1.00000  1.00000  0.89321  0.13825  0.00018  1.00000
5.050240317e+00  0.00002  1.00000  1.00000  0.97432  0.13824  0.00018  1.00000
5.052344584e+00  0.00002  1.00000  1.00000  0.98165  0.13823  0.00018  1.00000
5.054449727e+00  0.00003  1.00000  1.00000  0.98135  0.13822  0.00019  1.00000
5.056555748e+00  0.00002  1.00000  1.00000  0.95515  0.13822  0.00019  1.00000
5.058662646e+00  0.00002  1.00000  1.00000  0.86501  0.13821  0.00019  1.00000
5.060770422e+00  0.00002  1.00000  1.00000  0.60256  0.13820  0.00019  1.00000
5.062879077e+00  0.00003  1.00000  1.00000  0.95504  0.13819  0.00019  1.00000
5.064988610e+00  0.00003  1.00000  1.00000  0.97410  0.13818  0.00020  1.00000
5.067099022e+00  0.00003  1.00000  1.00000  0.97531  0.13817  0.00020  1.00000
5.069210313e+00  0.00003  1.00000  1.00000  0.97032  0.13816  0.00020  1.00000
5.071322484e+00  0.00003  1.00000  1.00000  0.96314  0.13815  0.00020  1.00000
5.073435535e+00  0.00003  1.00000  1.00000  0.94840  0.13814  0.00021  1.00000
5.075549466e+00  0.00003  1.00000  1.00000  0.91031  0.13813  0.00021  1.00000
5.077664279e+00  0.00002  1.00000  1.00000  0.83281  0.13812  0.00021  1.00000
5.079779972e+00  0.00002  1.00000  1.00000  0.59431  0.13811  0.00021  1.00000
5.081896547e+00  0.00000  1.00000  1.00000  0.10827  0.13811  0.00021  1.00000
5.084014004e+00  0.00000  1.00000  1.00000  0.07572  0.13810  0.00022  1.00000
5.086132343e+00  0.00000  1.00000  1.00000  0.10806  0.13809  0.00022  1.00000
5.088251565e+00  0.00002  1.00000  1.00000  0.68978  0.13808  0.00022  1.00000
5.090371670e+00  0.00003  1.00000  1.00000  0.86638  0.13807  0.00022  1.00000
5.092492658e+00  0.00003  1.00000  1.00000  0.91513  0.13806  0.00023  1.00000
5.094614530e+00  0.00003  1.00000  1.00000  0.91772  0.13805  0.00023  1.00000
5.096737286e+00  0.00003  1.00000  1.00000  0.84735  0.13804  0.00023  1.00000
5.098860926e+00  0.00001  1.00000  1.00000  0.17299  0.13803  0.00023  1.00000
5.100985452e+00  0.00002  1.00000  1.00000  0.76187  0.13802  0.00024  1.00000
5.103110862e+00  0.00003  1.00000  1.00000  0.88236  0.13801  0.00024  1.00000
5.105237159e+00  0.00003  1.00000  1.00000  0.94139  0.13800  0.00024  1.00000
5.107364341e+00  0.00003  1.00000  1.00000  0.86070  0.13800  0.00025  1.00000
5.109492409e+00  0.00003  1.00000  1.00000  0.83467  0.13799  0.00025  1.00000
5.111621364e+00  0.00002  1.00000  1.00000  0.47177  0.13798  0.00025  1.00000
5.113751207e+00  0.00002  1.00000  1.00000  0.48192  0.13797  0.00025  1.00000
5.115881936e+00  0.00001  1.00000  1.00000  0.30100  0.13796  0.00026  1.00000
5.118013554e+00  0.00003  1.00000  1.00000  0.90498  0.13795  0.00026  1.00000
5.120146060e+00  0.00003  1.00000  1.00000  0.93813  0.13794  0.00026  1.00000
5.122279454e+00  0.00003  1.00000  1.00000  0.94173  0.13793  0.00026  1.00000
5.124413737e+00  0.00003  1.00000  1.00000  0.90151  0.13792  0.00027  1.00000
5.126548909e+00  0.00003  1.00000  1.00000  0.84306  0.13791  0.00027  1.00000
5.128684971e+00  0.00003  1.00000  1.00000  0.83155  0.13790  0.00027  1.00000
5.130821923e+00  0.00003  1.00000  1.00000  0.80867  0.13789  0.00028  1.00000
5.132959766e+00  0.00003  1.00000  1.00000  0.79697  0.13788  0.00028  1.00000
5.135098499e+00  0.00002  1.00000  1.00000  0.57847  0.13788  0.00028  1.00000
5.137238123e+00  0.00000  1.00000  1.00000  0.07269  0.13787  0.00029  1.00000
5.139378639e+00  0.00000  1.00000  1.00000  0.03493  0.13786  0.00029  1.00000
5.141520047e+00  0.00000  1.00000  1.00000  0.12072  0.13785  0.00029  1.00000
5.143662347e+00  0.00001  1.00000  1.00000  0.36037  0.13784  0.00030  1.00000
5.145805540e+00  0.00000  1.00000  1.00000  0.06243  0.13783  0.00030  1.00000
5.147949625e+00 -0.00000  1.00000  1.00000 -0.01388  0.13782  0.00030  1.00000
5.150094604e+00  0.00000  1.00000  1.00000  0.00666  0.13781  0.00031  1.00000
5.152240477e+00  0.00002  1.00000  1.00000  0.42376  0.13780  0.00031  1.00000
5.154387244e+00  0.00003  1.00000  1.00000  0.66140  0.13779  0.00031  1.00000
5.156534905e+00  0.00003  1.00000  1.00000  0.76408  0.13778  0.00032  1.00000
5.158683462e+00  0.00004  1.00000  1.00000  0.84026  0.13777  0.00032  1.00000
5.160832913e+00  0.00004  1.00000  1.00000  0.84474  0.13776  0.00032  1.00000
5.162983260e+00  0.00004  1.00000  1.00000  0.85351  0.13775  0.00033  1.00000
5.165134503e+00  0.00004  1.00000  1.00000  0.92321  0.13775  0.00033  1.00000
5.167286642e+00  0.00004  1.00000  1.00000  0.91863  0.13774  0.00033  1.00000
5.169439679e+00  0.00004  1.00000  1.00000  0.91167  0.13773  0.00034  1.00000
5.171593612e+00  0.00003  1.00000  1.00000  0.73764  0.13772  0.00034  1.00000
5.173748442e+00  0.00002  1.00000  1.00000  0.32871  0.13771  0.00034  1.00000
5.175904171e+00  0.00004  1.00000  1.00000  0.78254  0.13770  0.00035  1.00000
5.178060798e+00  0.00004  1.00000  1.00000  0.91667  0.13769  0.00035  1.00000
5.180218323e+00  0.00005  1.00000  1.00000  0.92447  0.13768  0.00036  1.00000
5.182376747e+00  0.00005  1.00000  1.00000  0.92126  0.13767  0.00036  1.00000
5.184536071e+00  0.00005  1.00000  1.00000  0.91093  0.13766  0.00036  1.00000
5.186696294e+00  0.00004  1.00000  1.00000  0.87178  0.13765  0.00037  1.00000
5.188857418e+00  0.00004  1.00000  1.00000  0.85216  0.13764  0.00037  1.00000
5.191019442e+00  0.00004  1.00000  1.00000  0.79286  0.13763  0.00037  1.00000
5.193182366e+00  0.00004  1.00000  1.00000  0.73202  0.13762  0.00038  1.00000
5.195346192e+00  0.00003  1.00000  1.00000  0.49893  0.13761  0.00038  1.00000
5.197510920e+00  0.00001  1.00000  1.00000  0.18935  0.13761  0.00039  1.00000
5.199676550e+00 -0.00000  1.00000  1.00000 -0.03163  0.13760  0.00039  1.00000
5.201843081e+00 -0.00000  1.00000  1.00000 -0.00020  0.13759  0.00040  1.00000
5.204010516e+00  0.00001  1.00000  1.00000  0.20466  0.13758  0.00040  1.00000
5.206178854e+00  0.00002  1.00000  1.00000  0.34201  0.13757  0.00040  1.00000
5.208348095e+00  0.00001  1.00000  1.00000  0.25786  0.13756  0.00041  1.00000
5.210518240e+00  0.00000  1.00000  1.00000  0.07615  0.13755  0.00041  1.00000
5.212689289e+00  0.00000  1.00000  1.00000  0.00508  0.13754  0.00042  1.00000
5.214861243e+00  0.00000  1.00000  1.00000  0.00075  0.13753  0.00042  1.00000
5.217034102e+00  0.00001  1.00000  1.00000  0.10557  0.13752  0.00043  1.00000
5.219207866e+00  0.00002  1.00000  1.00000  0.38592  0.13751  0.00043  1.00000
5.221382536e+00  0.00003  1.00000  1.00000  0.56753  0.13750  0.00044  1.00000
5.223558112e+00  0.00004  1.00000  1.00000  0.62154  0.13749  0.00044  1.00000
5.225734595e+00  0.00004  1.00000  1.00000  0.66552  0.13748  0.00044  1.00000
5.227911984e+00  0.00004  1.00000  1.00000  0.71885  0.13747  0.00045  1.00000
5.230090281e+00  0.00004  1.00000  1.00000  0.60662  0.13746  0.00045  1.00000
5.232269485e+00  0.00003  1.00000  1.00000  0.39941  0.13746  0.00046  1.00000
5.234449597e+00  0.00001  1.00000  1.00000  0.07916  0.13745  0.00046  1.00000
5.236630618e+00  0.00000  1.00000  1.00000  0.03620  0.13744  0.00047  1.00000
5.238812547e+00  0.00001  1.00000  1.00000  0.18363  0.13743  0.00047  1.00000
5.240995386e+00  0.00000  1.00000  1.00000  0.01676  0.13742  0.00048  1.00000
5.243179134e+00  0.00002  1.00000  1.00000  0.32784  0.13741  0.00048  1.00000
5.245363792e+00  0.00005  1.00000  1.00000  0.67934  0.13740  0.00049  1.00000
5.247549360e+00  0.00005  1.00000  1.00000  0.72224  0.13739  0.00050  1.00000
5.249735839e+00  0.00002  1.00000  1.00000  0.35527  0.13738  0.00050  1.00000
5.251923229e+00  0.00001  1.00000  1.00000  0.08327  0.13737  0.00051  1.00000
5.254111531e+00  0.00006  1.00000  1.00000  0.81354  0.13736  0.00051  1.00000
5.256300744e+00  0.00005  1.00000  1.00000  0.77523  0.13735  0.00052  1.00000
5.258490869e+00  0.00005  1.00000  1.00000  0.69618  0.13734  0.00052  1.00000
5.260681907e+00  0.00006  1.00000  1.00000  0.85015  0.13733  0.00053  1.00000
5.262873858e+00  0.00006  1.00000  1.00000  0.88840  0.13732  0.00053  1.00000
5.265066722e+00  0.00006  1.00000  1.00000  0.87317  0.13731  0.00054  1.00000
5.267260500e+00  0.00006  1.00000  1.00000  0.83957  0.13730  0.00054  1.00000
5.269455191e+00  0.00005  1.00000  1.00000  0.67708  0.13729  0.00055  1.00000
5.271650798e+00  0.00005  1.00000  1.00000  0.64044  0.13729  0.00055  1.00000
5.273847319e+00  0.00002  1.00000  1.00000  0.30527  0.13728  0.00056  1.00000
5.276044755e+00 -0.00000  1.00000  1.00000 -0.02510  0.13727  0.00056  1.00000
5.278243107e+00  0.00001  1.00000  1.00000  0.06528  0.13726  0.00057  1.00000
5.280442375e+00  0.00003  1.00000  1.00000  0.34831  0.13725  0.00057  1.00000
5.282642560e+00  0.00004  1.00000  1.00000  0.50625  0.13724  0.00058  1.00000
5.284843661e+00  0.00004  1.00000  1.00000  0.48248  0.13723  0.00059  1.00000
5.287045679e+00  0.00002  1.00000  1.00000  0.30736  0.13722  0.00059  1.00000
5.289248615e+00  0.00001  1.00000  1.00000  0.07283  0.13721  0.00060  1.00000
5.291452468e+00  0.00000  1.00000  1.00000  0.00412  0.13720  0.00060  1.00000
5.293657240e+00  0.00000  1.00000  1.00000  0.00195  0.13719  0.00061  1.00000
5.295862930e+00  0.00001  1.00000  1.00000  0.13002  0.13718  0.00061  1.00000
5.298069540e+00  0.00003  1.00000  1.00000  0.39446  0.13717  0.00062  1.00000
5.300277069e+00  0.00005  1.00000  1.00000  0.55998  0.13716  0.00063  1.00000
