# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_2barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0436661           #332.4770747         #0.0000000           #44.0000000          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       48073.2873149           0.0009559         182.3363941          -0.0000000       9.9999267E-01       0.0000000E+00       7.3301478E-06       0.0000000E+00       2.6096487E-09              14.000               7.178
    1       46808.1181962           0.0012448         182.4968295          -0.0000000       9.9999280E-01       0.0000000E+00       7.1979032E-06       0.0000000E+00       1.7156627E-08              14.000               7.303
    2       45564.7173864           0.0016128         183.2529216          -0.0000000       9.9999303E-01       0.0000000E+00       6.9651858E-06       0.0000000E+00       3.4737631E-08              14.000               7.676
    3       44339.0302008           0.0020793         184.6892974          -0.0000000       9.9999337E-01       0.0000000E+00       6.6265844E-06       0.0000000E+00       4.6383006E-08              14.000               8.334
    4       43126.8959699           0.0026674         186.7126721          -0.0000000       9.9999351E-01       0.0000000E+00       6.4893871E-06       0.0000000E+00       5.0904850E-08              14.000               9.306
    5       41925.6688444           0.0034049         189.0929533          -0.0000000       9.9999340E-01       0.0000000E+00       6.5982715E-06       1.8432819E-34       5.2839596E-08              14.000              10.592
    6       40734.4751032           0.0043246         191.5789197          -0.0000000       9.9999316E-01       0.0000000E+00       6.8357901E-06       3.4544736E-27       5.4770116E-08              14.000              12.113
    7       39553.6614594           0.0054654         194.0080335          -0.0000000       9.9999284E-01       0.0000000E+00       7.1622743E-06       1.0182892E-23       5.9611420E-08              14.000              13.778
    8       38384.1493580           0.0068729         196.3398177          -0.0000000       9.9999232E-01       0.0000000E+00       7.6797031E-06       2.4127711E-23       7.1781288E-08              14.000              15.538
    9       37226.8843814           0.0085997         198.5873820          -0.0000000       9.9999134E-01       0.0000000E+00       8.6634840E-06       4.7443984E-24       9.6801386E-08              14.000              17.351
   10       36082.5378551           0.0107070         200.7786092          -0.0000000       9.9998960E-01       0.0000000E+00       1.0403835E-05       1.1334745E-22       1.3792387E-07              14.000              19.185
   11       34951.5763380           0.0132648         202.9569543          -0.0000000       9.9998681E-01       0.0000000E+00       1.3185281E-05       1.7427620E-22       1.9935226E-07              14.000              21.041
   12       33834.3409032           0.0163518         205.2307408          -0.0000000       9.9998249E-01       0.0000000E+00       1.7513030E-05       5.4729793E-22       2.7872694E-07              14.000              23.012
   13       32730.6952864           0.0200568         207.7349537          -0.0000000       9.9997605E-01       0.0000000E+00       2.3953701E-05       8.4287292E-21       3.6385666E-07              14.000              25.247
   14       31640.0068198           0.0244790         210.5653796          -0.0000000       9.9996679E-01       0.0000000E+00       3.3211008E-05       1.4659090E-19       4.5257274E-07              14.000              27.783
   15       30561.6141034           0.0297280         213.7068073          -0.0000000       9.9995312E-01       0.0000000E+00       4.6884254E-05       1.0338103E-18       5.8888588E-07              14.000              30.392
   16       29495.1587130           0.0359233         217.0561458          -0.0000000       9.9993134E-01       0.0000000E+00       6.8664244E-05       1.3551973E-10       8.4194774E-07              14.000              32.769
   17       28440.5270322           0.0431938         220.5734145          -0.0000000       9.9989459E-01       0.0000000E+00       1.0542442E-04       5.7676804E-09       1.2695813E-06              14.000              34.939
   18       27397.4410882           0.0516775         224.3420144          -0.0000000       9.9983534E-01       0.0000000E+00       1.6468949E-04       4.7025983E-08       1.8565975E-06              14.000              37.279
   19       26365.4393933           0.0615205         228.4074530          -0.0000001       9.9974159E-01       0.0000000E+00       2.5847738E-04       2.5781900E-07       2.4794292E-06              14.000              40.227
   20       25344.1331373           0.0728745         232.7967113          -0.0000002       9.9960923E-01       0.0000000E+00       3.9092146E-04       9.9240494E-07       3.1966858E-06              14.000              44.376
   21       23794.7191917           0.0935098         240.0061677          -0.0000005       9.9929237E-01       0.0000000E+00       7.0813026E-04       4.2098807E-06       4.1470474E-06              14.000              56.066
   22       21915.2999053           0.1254581         248.9750874          -0.0000017       9.9870760E-01       0.0000000E+00       1.2940695E-03       1.0011407E-05       3.1445985E-06              14.000              86.539
   23       20169.0688717           0.1633003         257.4929385          -0.0000045       9.9787561E-01       0.0000000E+00       2.1289151E-03       1.3306339E-05       1.2737890E-06              14.000             129.755
   24       18520.8925407           0.2078195         265.1176454          -0.0000108       9.9671970E-01       0.0000000E+00       3.2911005E-03       1.5316928E-05       3.1552680E-07              14.000             178.209
   25       16940.1696393           0.2601942         272.3625217          -0.0000244       9.9507317E-01       0.0000000E+00       4.9512208E-03       1.2909829E-05       2.3949799E-08              14.000             226.305
   26       15403.6369625           0.3218102         279.9709208          -0.0000517       9.9283629E-01       0.0000000E+00       7.2154013E-03       7.1971399E-06       1.8724209E-10              14.000             243.545
   27       13892.0428889           0.3942983         288.3654960          -0.0001044       9.8983271E-01       0.0000000E+00       1.0271721E-02       3.7938428E-06       1.2561526E-14              14.000             245.740
   28       12390.5782920           0.4795768         297.2835819          -0.0001990       9.8599380E-01       0.0000000E+00       1.4205164E-02       2.9505496E-06       2.1064296E-29              14.000             245.804
   29       10889.3424658           0.5799025         306.2302786          -0.0003395       9.8174273E-01       0.0000000E+00       1.8596796E-02       1.4868663E-06       3.0285756E-33              14.000             245.805
   30        9382.5068227           0.6979305         314.7989420          -0.0005268       9.7731006E-01       0.0000000E+00       2.3216726E-02       6.2855359E-07       1.6136130E-37              14.000             245.805
   31        7867.1618535           0.8367843         322.7435197          -0.0007627       9.7276218E-01       0.0000000E+00       2.8000492E-02       1.6496720E-07       0.0000000E+00              14.000             245.807
   32        6342.3363924           1.0001386         329.9279048          -0.0010627       9.6792858E-01       0.0000000E+00       3.3134077E-02       9.3465285E-08       0.0000000E+00              14.000             245.804
   33        4808.4362042           1.1923165         336.2351748          -0.0014270       9.6293134E-01       0.0000000E+00       3.8495643E-02       3.8780998E-08       0.0000000E+00              14.000             245.805
   34        3399.1980508           1.3977300         341.0858208          -0.0017925       9.5854859E-01       0.0000000E+00       4.3243934E-02       2.2252126E-08       0.0000000E+00              14.000             245.805
   35        2234.6525913           1.5916935         343.6510722          -0.0020661       9.5556728E-01       0.0000000E+00       4.6498792E-02       1.9043169E-08       8.0743210E-43              14.000             245.803
