# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sat Mar 16 23:51:05 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,55.721
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce
5.000000000e+00  0.00000  1.00000  0.00042  0.00000  0.00000  0.01432
5.002083333e+00  0.00000  1.00000  0.00099  0.00000  0.00000  0.01440
5.004167535e+00  0.00000  1.00000  0.00115  0.00000  0.00000  0.01449
5.006252605e+00  0.00000  1.00000  0.00190  0.00000  0.00000  0.01457
5.008338543e+00  0.00000  1.00000  0.00094  0.00000  0.00000  0.01465
5.010425351e+00  0.00000  1.00000  0.00024  0.00000  0.00000  0.01474
5.012513028e+00  0.00000  1.00000  0.00014  0.00000  0.00000  0.01482
5.014601575e+00 -0.00000  1.00000  0.00379 -0.00000  0.00000  0.01491
5.016690992e+00 -0.00000  1.00000  0.00047 -0.00000  0.00000  0.01499
5.018781280e+00 -0.00000  1.00000  0.00467 -0.00000  0.00000  0.01508
5.020872439e+00  0.00000  1.00000  0.00060  0.00000  0.00000  0.01517
5.022964469e+00  0.00000  1.00000  0.00661  0.00000  0.00000  0.01525
5.025057371e+00  0.00000  1.00000  0.00198  0.00000  0.00000  0.01534
5.027151145e+00  0.00000  1.00000  0.00722  0.00000  0.00000  0.01543
5.029245792e+00  0.00000  1.00000  0.00150  0.00000  0.00000  0.01552
5.031341311e+00  0.00000  1.00000  0.00604  0.00000  0.00000  0.01561
5.033437703e+00  0.00000  1.00000  0.00066  0.00000  0.00000  0.01570
5.035534969e+00  0.00000  1.00000  0.00331  0.00000  0.00000  0.01579
5.037633108e+00  0.00000  1.00000  0.00004  0.00000  0.00000  0.01588
5.039732122e+00  0.00000  1.00000  0.00332  0.00000  0.00000  0.01598
5.041832010e+00  0.00000  1.00000 -0.00020  0.00000  0.00000  0.01607
5.043932774e+00  0.00000  1.00000  0.00404  0.00000  0.00000  0.01616
5.046034412e+00 -0.00000  1.00000 -0.00045 -0.00000  0.00000  0.01625
5.048136927e+00 -0.00000  1.00000  0.00247 -0.00000  0.00000  0.01635
5.050240317e+00  0.00000  1.00000  0.00018  0.00000  0.00000  0.01644
5.052344584e+00  0.00000  1.00000  0.00039  0.00000  0.00000  0.01654
5.054449727e+00  0.00000  1.00000  0.00008  0.00000  0.00000  0.01664
5.056555748e+00  0.00000  1.00000  0.00025  0.00000  0.00000  0.01673
5.058662646e+00  0.00000  1.00000  0.00003  0.00000  0.00000  0.01682
5.060770422e+00  0.00000  1.00000  0.00014  0.00000  0.00000  0.01691
5.062879077e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01700
5.064988610e+00  0.00000  1.00000  0.00002  0.00000  0.00000  0.01709
5.067099022e+00 -0.00000  1.00000 -0.00000  0.00000  0.00000  0.01718
5.069210313e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.01727
5.071322484e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.01736
5.073435535e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.01745
5.075549466e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01754
5.077664279e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01764
5.079779972e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01773
5.081896547e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01782
5.084014004e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01792
5.086132343e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01801
5.088251565e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01810
5.090371670e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01820
5.092492658e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.01830
5.094614530e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01839
5.096737286e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.01849
5.098860926e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.01859
5.100985452e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01869
5.103110862e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01879
5.105237159e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01888
5.107364341e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01898
5.109492409e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01909
5.111621364e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01919
5.113751207e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01929
5.115881936e+00  0.00000  1.00000  0.00000 -0.00000  0.00000  0.01939
5.118013554e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.01949
5.120146060e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01960
5.122279454e+00 -0.00000  1.00000 -0.00000  0.00000  0.00000  0.01970
5.124413737e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01981
5.126548909e+00  0.00000  1.00000  0.00002  0.00000  0.00000  0.01991
5.128684971e+00  0.00000  1.00000  0.00009  0.00000  0.00000  0.02002
5.130821923e+00  0.00000  1.00000  0.00016  0.00000  0.00000  0.02012
5.132959766e+00  0.00000  1.00000  0.00063  0.00000  0.00000  0.02023
5.135098499e+00  0.00000  1.00000  0.00016  0.00000  0.00000  0.02034
5.137238123e+00  0.00000  1.00000  0.00117  0.00000  0.00000  0.02045
5.139378639e+00  0.00000  1.00000  0.00003  0.00000  0.00000  0.02056
5.141520047e+00  0.00000  1.00000  0.00038  0.00000  0.00000  0.02066
5.143662347e+00  0.00000  1.00000 -0.00002  0.00000  0.00000  0.02078
5.145805540e+00 -0.00000  1.00000  0.00001 -0.00000  0.00000  0.02089
5.147949625e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.02100
5.150094604e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02111
5.152240477e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02122
5.154387244e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02133
5.156534905e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02144
5.158683462e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02155
5.160832913e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02166
5.162983260e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02177
5.165134503e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02188
5.167286642e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02199
5.169439679e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02210
5.171593612e+00  0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02222
5.173748442e+00  0.00000  1.00000  0.00000 -0.00000  0.00000  0.02233
5.175904171e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02244
5.178060798e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02255
5.180218323e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02267
5.182376747e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02278
5.184536071e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02290
5.186696294e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02302
5.188857418e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02313
5.191019442e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02325
5.193182366e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.02337
5.195346192e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02349
5.197510920e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02361
5.199676550e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.02373
5.201843081e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.02385
5.204010516e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02397
5.206178854e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02409
5.208348095e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02422
5.210518240e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02434
5.212689289e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02446
5.214861243e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02459
5.217034102e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02471
5.219207866e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02484
5.221382536e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.02497
5.223558112e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02509
5.225734595e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.02522
5.227911984e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02535
5.230090281e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.02548
