# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_2barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0436089           #332.4995846         #0.0000000           #44.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       48083.5249769           0.0009559         182.1386171          -0.0000000       9.9999267E-01       0.0000000E+00       7.3307067E-06       0.0000000E+00       2.6711289E-09              14.000               7.105
    1       46819.3139944           0.0012448         182.4084294          -0.0000000       9.9999280E-01       0.0000000E+00       7.2024198E-06       0.0000000E+00       1.7491518E-08              14.000               7.270
    2       45576.0320895           0.0016128         183.2868112          -0.0000000       9.9999302E-01       0.0000000E+00       6.9836804E-06       0.0000000E+00       3.5311476E-08              14.000               7.691
    3       44349.6874094           0.0020793         184.8066078          -0.0000000       9.9999333E-01       0.0000000E+00       6.6699618E-06       0.0000000E+00       4.7205141E-08              14.000               8.392
    4       43136.4433456           0.0026674         186.8591906          -0.0000000       9.9999345E-01       0.0000000E+00       6.5453008E-06       0.0000000E+00       5.1931631E-08              14.000               9.390
    5       41934.0337115           0.0034049         189.2279097          -0.0000000       9.9999335E-01       0.0000000E+00       6.6536321E-06       6.2538688E-33       5.3952064E-08              14.000              10.682
    6       40741.8804950           0.0043246         191.6802290          -0.0000000       9.9999312E-01       0.0000000E+00       6.8844462E-06       2.7874286E-25       5.6119171E-08              14.000              12.188
    7       39560.4608447           0.0054654         194.0659339          -0.0000000       9.9999279E-01       0.0000000E+00       7.2069059E-06       3.1825690E-23       6.1721778E-08              14.000              13.827
    8       38390.6852502           0.0068729         196.3521395          -0.0000000       9.9999226E-01       0.0000000E+00       7.7389028E-06       3.9138645E-23       7.5351811E-08              14.000              15.553
    9       37233.4090126           0.0085997         198.5589604          -0.0000000       9.9999123E-01       0.0000000E+00       8.7661332E-06       5.9265544E-24       1.0236499E-07              14.000              17.332
   10       36089.1972912           0.0107070         200.7200877          -0.0000000       9.9998943E-01       0.0000000E+00       1.0571601E-05       1.2424592E-22       1.4570046E-07              14.000              19.136
   11       34958.4328255           0.0132648         202.8836870          -0.0000000       9.9998657E-01       0.0000000E+00       1.3430981E-05       1.6999702E-22       2.0971662E-07              14.000              20.975
   12       33841.4007578           0.0163518         205.1599728          -0.0000000       9.9998215E-01       0.0000000E+00       1.7848473E-05       5.2446340E-22       2.9203082E-07              14.000              22.949
   13       32737.9317347           0.0200568         207.6799545          -0.0000000       9.9997561E-01       0.0000000E+00       2.4386752E-05       8.0148074E-21       3.8120458E-07              14.000              25.203
   14       31647.3802527           0.0244790         210.5313323          -0.0000000       9.9996623E-01       0.0000000E+00       3.3769912E-05       1.5859438E-19       4.7931889E-07              14.000              27.761
   15       30569.0834201           0.0297280         213.6917203          -0.0000000       9.9995228E-01       0.0000000E+00       4.7720000E-05       1.1094167E-18       6.3445929E-07              14.000              30.384
   16       29502.6733060           0.0359233         217.0572608          -0.0000000       9.9992983E-01       0.0000000E+00       7.0175256E-05       2.4973304E-10       9.1937673E-07              14.000              32.769
   17       28448.0058024           0.0431938         220.5947008          -0.0000000       9.9989173E-01       0.0000000E+00       1.0827897E-04       7.9346922E-09       1.3900644E-06              14.000              34.949
   18       27404.7675323           0.0516775         224.3933986          -0.0000000       9.9983029E-01       0.0000000E+00       1.6974232E-04       6.0191321E-08       2.0159902E-06              14.000              37.312
   19       26372.4802594           0.0615205         228.4956524          -0.0000001       9.9973338E-01       0.0000000E+00       2.6668970E-04       3.1759723E-07       2.6546376E-06              14.000              40.298
   20       25350.7681429           0.0728745         232.9189152          -0.0000002       9.9959713E-01       0.0000000E+00       4.0303438E-04       1.1580995E-06       3.3699335E-06              14.000              44.512
   21       23800.5854024           0.0935097         240.1618082          -0.0000005       9.9927293E-01       0.0000000E+00       7.2759785E-04       4.6814031E-06       4.2870548E-06              14.000              56.399
   22       21920.2091282           0.1254578         249.1402636          -0.0000017       9.9867815E-01       0.0000000E+00       1.3235957E-03       1.0759363E-05       3.1365283E-06              14.000              87.224
   23       20173.1962833           0.1632996         257.6405910          -0.0000047       9.9783899E-01       0.0000000E+00       2.1656921E-03       1.3996246E-05       1.2321680E-06              14.000             130.569
   24       18524.4308510           0.2078185         265.2530249          -0.0000111       9.9668078E-01       0.0000000E+00       3.3302778E-03       1.5648812E-05       2.9528679E-07              14.000             179.131
   25       16943.2169947           0.2601928         272.4984073          -0.0000248       9.9503057E-01       0.0000000E+00       4.9942459E-03       1.2890279E-05       2.2086131E-08              14.000             227.089
   26       15406.1797543           0.3218084         280.1220619          -0.0000524       9.9278997E-01       0.0000000E+00       7.2623956E-03       6.9797009E-06       1.7469925E-10              14.000             243.671
   27       13894.0252670           0.3942959         288.5278604          -0.0001055       9.8978024E-01       0.0000000E+00       1.0325279E-02       3.7356176E-06       1.2079703E-14              14.000             245.744
   28       12391.9796661           0.4795738         297.4489637          -0.0002005       9.8593954E-01       0.0000000E+00       1.4260972E-02       2.8819464E-06       1.9761572E-29              14.000             245.804
   29       10890.1848022           0.5798987         306.3940930          -0.0003410       9.8170330E-01       0.0000000E+00       1.8637710E-02       1.4416175E-06       2.7745325E-33              14.000             245.805
   30        9382.8473064           0.6979258         314.9513271          -0.0005279       9.7728723E-01       0.0000000E+00       2.3240634E-02       6.0536438E-07       1.4305449E-37              14.000             245.805
   31        7867.0996486           0.8367785         322.8680549          -0.0007629       9.7275801E-01       0.0000000E+00       2.8004902E-02       1.5713840E-07       0.0000000E+00              14.000             245.807
   32        6342.0230857           1.0001316         330.0064743          -0.0010610       9.6795331E-01       0.0000000E+00       3.3107687E-02       8.8624163E-08       0.0000000E+00              14.000             245.804
   33        4808.0601984           1.1923080         336.2579029          -0.0014218       9.6299743E-01       0.0000000E+00       3.8424373E-02       3.7199687E-08       0.0000000E+00              14.000             245.805
   34        3398.9008185           1.3977200         341.0702259          -0.0017836       9.5864969E-01       0.0000000E+00       4.3133914E-02       2.1130289E-08       0.0000000E+00              14.000             245.805
   35        2234.4691708           1.5916820         343.6224236          -0.0020590       9.5564139E-01       0.0000000E+00       4.6417634E-02       1.7183622E-08       6.1101315E-43              14.000             245.803
   36        1323.9968358           1.7612198         343.5974609          -0.0023176       9.5300367E-01       0.0000000E+00       4.9313902E-02       2.9607915E-08       1.1540878E-38              14.000             245.807
   37         669.5052195           1.8945482         341.2056292          -0.0026515       9.4981620E-01       0.0000000E+00       5.2835275E-02       1.9830026E-07       2.0385239E-33              14.000             245.805
   38         268.7679375           1.9818276         337.5183571          -0.0032389       9.4468500E-01       0.0000000E+00       5.8553909E-02       2.2154252E-06       5.4985671E-29              14.000             245.804
   39          65.4491850           2.0280983         334.7129582          -0.0035657       9.4204304E-01       0.0000000E+00       6.1522624E-02       1.1835231E-05       1.0059589E-28              14.000             245.850
