# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_2barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0448043           #332.1435844         #0.0296932           #44.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       48259.8572024           0.0009559         187.4206275          -0.0000000       9.9999270E-01       0.0000000E+00       7.2954276E-06       0.0000000E+00       4.4049038E-10              14.000               9.348
    1       46966.1005518           0.0012448         187.1495230          -0.0000000       9.9999268E-01       0.0000000E+00       7.3196382E-06       0.0000000E+00       5.2206181E-09              14.000               9.220
    2       45696.9016425           0.0016128         187.3640577          -0.0000000       9.9999279E-01       0.0000000E+00       7.2121908E-06       0.0000000E+00       1.6729142E-08              14.000               9.478
    3       44447.3161178           0.0020793         188.5546845          -0.0000000       9.9999302E-01       0.0000000E+00       6.9820646E-06       0.0000000E+00       2.6605182E-08              14.000              10.291
    4       43212.0387101           0.0026674         190.4411750          -0.0000000       9.9999321E-01       0.0000000E+00       6.7856820E-06       0.0000000E+00       3.1810145E-08              14.000              11.532
    5       41988.1713582           0.0034049         192.6933052          -0.0000000       9.9999326E-01       0.0000000E+00       6.7362749E-06       1.3530030E-31       3.7221296E-08              14.000              13.056
    6       40774.9006899           0.0043246         195.0484985          -0.0000000       9.9999309E-01       0.0000000E+00       6.9053653E-06       1.8559059E-22       4.4915894E-08              14.000              14.775
    7       39572.4640128           0.0054654         197.4128001          -0.0000000       9.9999254E-01       0.0000000E+00       7.4562111E-06       1.8488963E-20       5.8407395E-08              14.000              16.648
    8       38381.2572374           0.0068729         199.8382593          -0.0000000       9.9999157E-01       0.0000000E+00       8.4251012E-06       7.7229476E-21       7.6784692E-08              14.000              18.653
    9       37201.4356180           0.0085997         202.3754588          -0.0000000       9.9999028E-01       0.0000000E+00       9.7219583E-06       1.1157466E-21       1.0162099E-07              14.000              20.747
   10       36033.0270292           0.0107070         204.9978874          -0.0000000       9.9998861E-01       0.0000000E+00       1.1391401E-05       5.4475119E-21       1.3500386E-07              14.000              22.855
   11       34876.3141552           0.0132648         207.6484931          -0.0000000       9.9998637E-01       0.0000000E+00       1.3633893E-05       1.0394723E-21       1.8470036E-07              14.000              24.950
   12       33731.9687541           0.0163518         210.3137256          -0.0000000       9.9998326E-01       0.0000000E+00       1.6742263E-05       1.7031658E-20       2.6850482E-07              14.000              27.061
   13       32600.6998576           0.0200568         212.9811064          -0.0000000       9.9997862E-01       0.0000000E+00       2.1383403E-05       4.3113752E-19       4.2340213E-07              14.000              29.191
   14       31483.2095382           0.0244790         215.6176249          -0.0000000       9.9997109E-01       0.0000000E+00       2.8908776E-05       4.9795553E-18       6.8312384E-07              14.000              31.283
   15       30380.3154674           0.0297280         218.2239718          -0.0000000       9.9995802E-01       0.0000000E+00       4.1977601E-05       8.7198870E-11       1.0832891E-06              14.000              33.309
   16       29292.7111388           0.0359233         220.8589974          -0.0000000       9.9993550E-01       0.0000000E+00       6.4506842E-05       1.1564245E-08       1.6596512E-06              14.000              35.266
   17       28220.7284303           0.0431938         223.6219935          -0.0000000       9.9989747E-01       0.0000000E+00       1.0254016E-04       8.5229633E-08       2.3811408E-06              14.000              37.218
   18       27164.2796187           0.0516775         226.5927111          -0.0000000       9.9983669E-01       0.0000000E+00       1.6333396E-04       3.7475654E-07       3.0933174E-06              14.000              39.359
   19       26123.1597641           0.0615205         229.7595768          -0.0000001       9.9974203E-01       0.0000000E+00       2.5804053E-04       1.2589584E-06       3.6239442E-06              14.000              41.946
   20       25097.2337421           0.0728745         233.1545238          -0.0000002       9.9960636E-01       0.0000000E+00       3.9379788E-04       3.1076413E-06       4.2481831E-06              14.000              45.414
   21       23549.9904475           0.0935209         238.9075808          -0.0000005       9.9929560E-01       0.0000000E+00       7.0489410E-04       9.7410858E-06       4.9562049E-06              14.000              54.714
   22       21681.4235526           0.1254936         246.6778605          -0.0000016       9.9873536E-01       0.0000000E+00       1.2662422E-03       1.8766870E-05       3.7007194E-06              14.000              78.863
   23       19951.1702145           0.1633642         254.6941335          -0.0000042       9.9794150E-01       0.0000000E+00       2.0627492E-03       2.3082301E-05       1.9383264E-06              14.000             115.702
   24       18319.3209622           0.2079170         262.3836772          -0.0000101       9.9683106E-01       0.0000000E+00       3.1790153E-03       2.4084335E-05       6.0417340E-07              14.000             160.942
   25       16753.3736283           0.2603312         269.8571753          -0.0000225       9.9526585E-01       0.0000000E+00       4.7566705E-03       1.8580298E-05       8.7968956E-08              14.000             210.127
   26       15230.5017233           0.3219937         277.5178344          -0.0000457       9.9326024E-01       0.0000000E+00       6.7854896E-03       9.1797783E-06       1.3164194E-09              14.000             236.270
   27       13733.1434499           0.3945364         285.5564374          -0.0000877       9.9067964E-01       0.0000000E+00       9.4080449E-03       5.4737276E-06       1.7054291E-21              14.000             245.318
   28       12247.8783463           0.4798793         293.9332659          -0.0001570       9.8754887E-01       0.0000000E+00       1.2608119E-02       3.7300573E-06       7.3185392E-29              14.000             245.801
