results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  3.85489e-11
5.002083333e+00  6.32292e-11
5.004167535e+00  3.97419e-11
5.006252605e+00  3.06457e-11
5.008338543e+00  2.96869e-11
5.010425351e+00  3.09513e-11
5.012513028e+00  3.05580e-11
5.014601575e+00  3.49827e-11
5.016690992e+00  7.03525e-11
5.018781280e+00  9.65043e-11
5.020872439e+00  8.86442e-11
5.022964469e+00  4.56655e-11
5.025057371e+00  3.85088e-11
5.027151145e+00  4.90187e-11
5.029245792e+00  7.71352e-11
5.031341311e+00  4.68160e-11
5.033437703e+00  3.43590e-11
5.035534969e+00  2.61861e-11
5.037633108e+00  3.06062e-11
5.039732122e+00  2.50327e-11
5.041832010e+00  3.15340e-11
5.043932774e+00  2.32953e-11
5.046034412e+00  3.38532e-11
5.048136927e+00  2.73373e-11
5.050240317e+00  3.11981e-11
5.052344584e+00  2.47326e-11
5.054449727e+00  3.40896e-11
5.056555748e+00  2.69279e-11
5.058662646e+00  4.18692e-11
5.060770422e+00  4.77489e-11
5.062879077e+00  4.19328e-11
5.064988610e+00  2.49494e-11
5.067099022e+00  4.47109e-11
5.069210313e+00  2.51125e-11
5.071322484e+00  4.88849e-11
5.073435535e+00  2.69129e-11
5.075549466e+00  4.57441e-11
5.077664279e+00  4.06308e-11
5.079779972e+00  6.11031e-11
5.081896547e+00  8.91127e-11
5.084014004e+00  8.28546e-11
5.086132343e+00  9.03788e-11
5.088251565e+00  6.18146e-11
5.090371670e+00  3.98780e-11
5.092492658e+00  5.85447e-11
5.094614530e+00  3.70220e-11
5.096737286e+00  6.03136e-11
5.098860926e+00  8.66771e-11
5.100985452e+00  5.92464e-11
5.103110862e+00  4.64312e-11
5.105237159e+00  5.41669e-11
5.107364341e+00  4.92672e-11
5.109492409e+00  5.85183e-11
5.111621364e+00  6.63939e-11
5.113751207e+00  6.70280e-11
5.115881936e+00  8.24333e-11
5.118013554e+00  5.70383e-11
5.120146060e+00  3.69053e-11
5.122279454e+00  5.95089e-11
5.124413737e+00  4.09342e-11
5.126548909e+00  5.18886e-11
5.128684971e+00  4.44345e-11
5.130821923e+00  4.84523e-11
5.132959766e+00  4.21388e-11
5.135098499e+00  5.91065e-11
5.137238123e+00  9.76906e-11
5.139378639e+00  1.02812e-10
5.141520047e+00  9.15866e-11
5.143662347e+00  7.31806e-11
5.145805540e+00  1.01765e-10
5.147949625e+00  8.16219e-11
5.150094604e+00  1.24428e-10
5.152240477e+00  7.10946e-11
5.154387244e+00  6.30264e-11
5.156534905e+00  6.30337e-11
5.158683462e+00  6.18275e-11
5.160832913e+00  6.46978e-11
5.162983260e+00  7.26121e-11
5.165134503e+00  7.14082e-11
5.167286642e+00  6.73731e-11
5.169439679e+00  3.14262e-11
5.171593612e+00  2.14066e-11
5.173748442e+00  1.28308e-11
5.175904171e+00  5.03296e-11
5.178060798e+00  7.58624e-11
5.180218323e+00  7.17283e-11
5.182376747e+00  6.51054e-11
5.184536071e+00  7.07221e-11
5.186696294e+00  6.02111e-11
5.188857418e+00  7.78894e-11
5.191019442e+00  5.59733e-11
5.193182366e+00  8.51010e-11
5.195346192e+00  5.07800e-11
5.197510920e+00  9.62925e-11
5.199676550e+00  4.51568e-11
5.201843081e+00  9.61501e-11
5.204010516e+00  6.02221e-11
5.206178854e+00  7.48957e-11
