# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_2barN2_0.1barCO2_aqua
# TRAPPIST-1 e, 0.95% N2, 0.05% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.1048653           #282.2460765         #0.0696368           #28.7619048          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       62891.0098260           0.0009559         177.1403129           0.9523789       4.7618943E-02       0.0000000E+00       2.1965433E-06       0.0000000E+00       2.7779420E-09              14.000               6.299
    1       61022.8656841           0.0012448         176.4390065           0.9523789       4.7618947E-02       0.0000000E+00       2.1206804E-06       0.0000000E+00       6.9987572E-09              14.000               6.254
    2       59196.1001391           0.0016128         175.9578491           0.9523790       4.7618950E-02       0.0000000E+00       2.0472508E-06       0.0000000E+00       1.2944778E-08              14.000               6.275
    3       57407.2413188           0.0020793         175.8841994           0.9523791       4.7618953E-02       0.0000000E+00       1.9944477E-06       0.0000000E+00       1.9304210E-08              14.000               6.296
    4       55652.0169629           0.0026674         176.2105596           0.9523791       4.7618954E-02       0.0000000E+00       1.9697917E-06       0.0000000E+00       2.5695344E-08              14.000               6.313
    5       53925.9951276           0.0034049         177.0579214           0.9523790       4.7618952E-02       0.0000000E+00       2.0092339E-06       0.0000000E+00       2.8709803E-08              14.000               6.360
    6       52224.3519439           0.0043246         178.4619788           0.9523790       4.7618948E-02       0.0000000E+00       2.0862468E-06       0.0000000E+00       2.4889519E-08              14.000               6.503
    7       50543.0028237           0.0054654         180.2762053           0.9523789       4.7618945E-02       0.0000000E+00       2.1608642E-06       0.0000000E+00       1.7678008E-08              14.000               6.840
    8       48880.1079545           0.0068729         182.2353077           0.9523788       4.7618942E-02       0.0000000E+00       2.2175619E-06       0.0000000E+00       1.1143752E-08              14.000               7.399
    9       47236.2051545           0.0085997         184.1214825           0.9523788       4.7618939E-02       0.0000000E+00       2.2831627E-06       0.0000000E+00       7.2276248E-09              14.000               8.082
   10       45613.3187397           0.0107070         185.7814470           0.9523787       4.7618935E-02       0.0000000E+00       2.3617147E-06       0.0000000E+00       5.3490980E-09              14.000               8.766
   11       44014.4022323           0.0132648         187.1206821           0.9523786       4.7618932E-02       0.0000000E+00       2.4351471E-06       0.0000000E+00       4.6343280E-09              14.000               9.357
   12       42442.7623494           0.0163518         188.1641138           0.9523786       4.7618929E-02       0.0000000E+00       2.4995393E-06       0.0000000E+00       4.4111545E-09              14.000               9.834
   13       40900.7840620           0.0200568         189.0492793           0.9523785       4.7618926E-02       0.0000000E+00       2.5641574E-06       0.0000000E+00       4.2761046E-09              14.000              10.264
