# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sun Mar 17 00:48:34 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,72.863
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.13045  0.00000  0.00000  0.00061  0.97682
5.002083333e+00  0.00000  1.00000  0.14528  0.00000  0.00000  0.00062  0.98005
5.004167535e+00  0.00000  1.00000  0.17372  0.00000  0.00000  0.00063  0.98350
5.006252605e+00  0.00000  1.00000  0.18489  0.00000  0.00000  0.00063  0.98468
5.008338543e+00  0.00000  1.00000  0.14611  0.00000  0.00000  0.00064  0.98620
5.010425351e+00  0.00000  1.00000  0.15215  0.00000  0.00000  0.00064  0.98309
5.012513028e+00  0.00000  1.00000  0.15548  0.00000  0.00000  0.00065  0.98425
5.014601575e+00 -0.00000  1.00000  0.26755 -0.00000  0.00000  0.00066  0.98375
5.016690992e+00 -0.00000  1.00000  0.18147 -0.00000  0.00000  0.00066  0.98055
5.018781280e+00  0.00000  1.00000  0.31539  0.00000  0.00000  0.00067  0.97849
5.020872439e+00  0.00000  1.00000  0.17007  0.00000  0.00000  0.00068  0.98268
5.022964469e+00  0.00000  1.00000  0.35600  0.00000  0.00000  0.00068  0.98219
5.025057371e+00  0.00000  1.00000  0.20907  0.00000  0.00000  0.00069  0.98295
