# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_4barN2_0.2barCO2_aqua
# TRAPPIST-1 e, 0.95% N2, 0.05% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#4.2358864           #332.0526500         #0.0000000           #28.7619048          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       72503.6707189           0.0009559         179.1590555           0.9523777       4.7618884E-02       0.0000000E+00       3.4422712E-06       0.0000000E+00       3.1000446E-10              14.000               6.275
    1       70611.2291091           0.0012448         178.9637182           0.9523778       4.7618892E-02       0.0000000E+00       3.2596835E-06       0.0000000E+00       1.6160447E-09              14.000               6.335
    2       68756.3455302           0.0016128         178.9415725           0.9523780       4.7618898E-02       0.0000000E+00       3.1443999E-06       0.0000000E+00       2.9178422E-09              14.000               6.418
    3       66937.5438645           0.0020793         178.9682425           0.9523780       4.7618899E-02       0.0000000E+00       3.1148983E-06       0.0000000E+00       3.1758239E-09              14.000               6.452
    4       65153.7931154           0.0026674         179.0675359           0.9523780       4.7618901E-02       0.0000000E+00       3.0818521E-06       0.0000000E+00       3.0475222E-09              14.000               6.446
    5       63402.9161435           0.0034049         179.4974808           0.9523780       4.7618901E-02       0.0000000E+00       3.0860625E-06       0.0000000E+00       2.9187377E-09              14.000               6.488
    6       61680.0713332           0.0043246         180.6064111           0.9523780       4.7618899E-02       0.0000000E+00       3.1179004E-06       0.0000000E+00       2.6070889E-09              14.000               6.719
    7       59978.9484478           0.0054654         182.4333018           0.9523779       4.7618897E-02       0.0000000E+00       3.1642961E-06       0.0000000E+00       2.1589820E-09              14.000               7.259
    8       58295.1928016           0.0068729         184.6496384           0.9523779       4.7618895E-02       0.0000000E+00       3.1959336E-06       0.0000000E+00       1.7626992E-09              14.000               8.097
    9       56628.3522931           0.0085997         186.8095948           0.9523779       4.7618897E-02       0.0000000E+00       3.1695317E-06       0.0000000E+00       1.4761457E-09              14.000               9.076
   10       54981.3357553           0.0107070         188.5681373           0.9523780       4.7618901E-02       0.0000000E+00       3.0884902E-06       0.0000000E+00       1.2524222E-09              14.000               9.983
   11       53358.9552414           0.0132648         189.7673624           0.9523781       4.7618905E-02       0.0000000E+00       2.9880484E-06       0.0000000E+00       1.0973462E-09              14.000              10.648
   12       51766.3765899           0.0163518         190.4575137           0.9523782       4.7618910E-02       0.0000000E+00       2.8905859E-06       0.0000000E+00       9.9235682E-10              14.000              11.027
   13       50207.1397022           0.0200568         190.8874544           0.9523783       4.7618913E-02       0.0000000E+00       2.8286767E-06       0.0000000E+00       9.1677747E-10              14.000              11.245
   14       48681.9834051           0.0244790         191.4085935           0.9523783       4.7618913E-02       0.0000000E+00       2.8263111E-06       0.0000000E+00       9.0501867E-10              14.000              11.524
   15       47189.2966827           0.0297280         192.2848885           0.9523782       4.7618910E-02       0.0000000E+00       2.8883362E-06       0.0000000E+00       1.0014667E-09              14.000              12.056
   16       45726.7174790           0.0359233         193.5113894           0.9523781       4.7618905E-02       0.0000000E+00       2.9983324E-06       0.0000000E+00       1.3285130E-09              14.000              12.879
   17       44292.9779107           0.0431938         194.8658295           0.9523780       4.7618899E-02       0.0000000E+00       3.1296618E-06       0.0000000E+00       2.2404389E-09              14.000              13.871
   18       42888.5962914           0.0516775         196.0942790           0.9523778       4.7618892E-02       0.0000000E+00       3.2629265E-06       4.1533488E-39       3.5986275E-09              14.000              14.825
   19       41515.3860651           0.0615205         197.0590587           0.9523777       4.7618886E-02       0.0000000E+00       3.3888374E-06       2.4571123E-37       4.6901510E-09              14.000              15.582
   20       40175.8852085           0.0728745         197.6893679           0.9523776       4.7618881E-02       0.0000000E+00       3.5010449E-06       5.1987633E-33       5.5057061E-09              14.000              16.046
   21       36899.1719692           0.1100099         198.9028506           0.9523775       4.7618874E-02       0.0000000E+00       3.6407907E-06       4.7726241E-32       2.4749125E-09              14.000              16.877
   22       33056.5019600           0.1778698         200.7634685           0.9523772       4.7618862E-02       0.0000000E+00       3.8994641E-06       5.0410201E-29       7.4040688E-09              14.000              18.665
   23       30037.2512341           0.2579601         205.2839651           0.9523759       4.7618794E-02       0.0000000E+00       5.3307458E-06       5.7781199E-27       3.8805393E-08              14.000              23.279
   24       27425.0920009           0.3521821         213.9735377           0.9523686       4.7618428E-02       0.0000000E+00       1.3012818E-05       3.7984340E-23       1.4499932E-07              14.000              31.003
   25       25019.3521307           0.4630295         225.0228490           0.9523381       4.7616907E-02       0.0000000E+00       4.4953173E-05       2.3623148E-10       4.1973274E-07              14.000              37.334
   26       22724.9294146           0.5934356         236.4804587           0.9522427       4.7612135E-02       0.0000000E+00       1.4518860E-04       2.2868646E-07       1.3272963E-06              14.000              47.953
   27       20494.1433246           0.7468516         247.6118202           0.9519834       4.7599179E-02       0.0000000E+00       4.1742021E-04       2.6746056E-06       2.3397333E-06              14.000              79.838
   28       18298.2143943           0.9273378         258.5328448           0.9513439       4.7567255E-02       0.0000000E+00       1.0888265E-03       6.1221042E-06       6.5326751E-07              14.000             135.058
   29       16115.4578673           1.1396703         269.6043682           0.9503450       4.7517478E-02       0.0000000E+00       2.1375220E-03       6.1980123E-06       1.1278997E-08              14.000             210.351
   30       13929.8619702           1.3894684         280.5587817           0.9489330       4.7447302E-02       0.0000000E+00       3.6197230E-03       2.5411727E-06       2.5303052E-26              14.000             245.332
   31       11731.5519516           1.6833430         291.0955162           0.9468455       4.7343953E-02       0.0000000E+00       5.8105594E-03       1.0667619E-06       8.3485274E-29              14.000             245.808
   32        9512.7917951           2.0290712         301.5868958           0.9437586       4.7191986E-02       0.0000000E+00       9.0494528E-03       4.9749797E-07       6.1139177E-33              14.000             245.805
   33        7265.1621010           2.4358027         312.3630246           0.9397626       4.6996779E-02       0.0000000E+00       1.3240657E-02       1.4238544E-07       2.6762771E-37              14.000             245.804
   34        5179.0619925           2.8705463         322.6111520           0.9356838       4.6799267E-02       0.0000000E+00       1.7516949E-02       5.9143878E-08       9.8249654E-37              14.000             245.804
   35        3431.7607941           3.2810568         331.0841083           0.9318424       4.6614834E-02       0.0000000E+00       2.1542801E-02       7.7153212E-08       2.6263400E-36              14.000             245.807
   36        2046.1806917           3.6398748         336.5053287           0.9277251       4.6418840E-02       0.0000000E+00       2.5856041E-02       1.4648346E-07       1.6211955E-33              14.000             245.806
   37        1037.9438651           3.9220574         338.4008489           0.9226639       4.6180263E-02       0.0000000E+00       3.1155840E-02       3.5362010E-07       1.3604561E-31              14.000             245.806
