# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sun Mar 17 00:48:58 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,57.909
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00052  0.97912
5.002083333e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00053  0.98266
5.004167535e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00053  0.98504
5.006252605e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00054  0.98635
5.008338543e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00054  0.98857
5.010425351e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00055  0.98655
5.012513028e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00055  0.98785
5.014601575e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00056  0.98554
5.016690992e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00057  0.98337
5.018781280e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00057  0.97979
5.020872439e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00058  0.98619
5.022964469e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00058  0.98605
5.025057371e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00059  0.98493
5.027151145e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00060  0.98424
5.029245792e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00060  0.98930
5.031341311e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00061  0.98839
5.033437703e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00061  0.98902
5.035534969e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00062  0.99300
5.037633108e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00063  0.99183
5.039732122e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00063  0.99052
5.041832010e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00064  0.99058
5.043932774e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00065  0.99317
5.046034412e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00065  0.99171
5.048136927e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00066  0.99354
5.050240317e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00067  0.99421
5.052344584e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00067  0.99438
5.054449727e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00068  0.99401
5.056555748e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00069  0.99608
5.058662646e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00069  0.99377
5.060770422e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00070  0.99515
5.062879077e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00071  0.99095
5.064988610e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00071  0.99336
5.067099022e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00072  0.99423
5.069210313e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00073  0.99734
5.071322484e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00073  0.99530
5.073435535e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00074  0.99410
5.075549466e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00075  0.99447
5.077664279e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00076  0.99550
5.079779972e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00076  0.99437
5.081896547e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00077  0.99340
5.084014004e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00078  0.98968
5.086132343e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00078  0.99564
5.088251565e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00079  0.99588
5.090371670e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00080  0.99441
5.092492658e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00081  0.99772
5.094614530e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00081  0.99718
5.096737286e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00082  0.99750
5.098860926e+00 -0.00000  1.00000  1.00000 -0.00000  0.00000  0.00083  0.99719
5.100985452e+00  0.00000  1.00000  1.00000  0.00000  0.00000  0.00084  0.99692
